sector,stock_name,symbol,overall_score,return_pct,score_rank,return_rank,rank_deviation,rank_deviation_pct,bucket
"Aerospace & Defence","Azad Engineering Ltd",AZAD,82.30,8.17,1,7,6,20,"Within 25%"
"Aerospace & Defence","MTAR Technologies Ltd",MTARTECH,74.11,142.75,2,1,1,3.33,"Within 10%"
"Aerospace & Defence","Paras Defence and Space Technologies Ltd",PARAS,71.71,-7.62,3,13,10,33.33,"Rest"
"Aerospace & Defence","Data Patterns (India) Ltd",DATAPATTNS,70.74,18.62,4,5,1,3.33,"Within 10%"
"Aerospace & Defence","Zen Technologies Ltd",ZENTEC,69.16,-10.25,5,16,11,36.67,"Rest"
"Aerospace & Defence","Solar Industries India Ltd",SOLARINDS,68.00,-9.17,6,15,9,30,"Rest"
"Aerospace & Defence","Avantel Ltd",AVANTEL,66.24,-3.39,7,9,2,6.67,"Within 10%"
"Aerospace & Defence","Mazagon Dock Shipbuilders Ltd",MAZDOCK,65.90,-17.09,8,24,16,53.33,"Rest"
"Aerospace & Defence","NIBE Ltd",NIBE,64.38,-13.27,9,21,12,40,"Rest"
"Aerospace & Defence","DCX Systems Ltd",DCXINDIA,63.48,-34.29,10,29,19,63.33,"Rest"
"Aerospace & Defence","CFF Fluid Control Ltd",543920,63.43,-18.79,11,28,17,56.67,"Rest"
"Aerospace & Defence","Nibe Ordnance & Maritime Ltd",512091,63.30,27.26,12,3,9,30,"Rest"
"Aerospace & Defence","Apollo Micro Systems Ltd",APOLLO,63.01,1.59,13,8,5,16.67,"Within 25%"
"Aerospace & Defence","BEML Ltd",BEML,62.23,-14.67,14,22,8,26.67,"Rest"
"Aerospace & Defence","Astra Microwave Products Ltd",ASTRAMICRO,62.09,-5.17,15,11,4,13.33,"Within 25%"
"Aerospace & Defence","Bharat Electronics Ltd",BEL,61.70,17.19,16,6,10,33.33,"Rest"
"Aerospace & Defence","Garden Reach Shipbuilders & Engineers Ltd",GRSE,60.95,-5.09,17,10,7,23.33,"Within 25%"
"Aerospace & Defence","Ideaforge Technology Ltd",IDEAFORGE,60.75,-18.04,18,25,7,23.33,"Within 25%"
"Aerospace & Defence","Sika Interplant Systems Ltd",523606,60.52,-18.40,19,27,8,26.67,"Rest"
"Aerospace & Defence","Taneja Aerospace & Aviation Ltd",TANEJAERO,59.48,-43.81,20,30,10,33.33,"Rest"
"Aerospace & Defence","Hindustan Aeronautics Ltd",HAL,58.88,-10.90,21,17,4,13.33,"Within 25%"
"Aerospace & Defence","Bharat Dynamics Ltd",BDL,58.41,-18.23,22,26,4,13.33,"Within 25%"
"Aerospace & Defence","RRP Defense Ltd",530929,53.95,133.35,23,2,21,70,"Rest"
"Aerospace & Defence","Cochin Shipyard Ltd",COCHINSHIP,53.37,-12.74,24,20,4,13.33,"Within 25%"
"Aerospace & Defence","Kavveri Defence & Wireless Technologies Ltd",KAVDEFENCE,53.30,-11.02,25,18,7,23.33,"Within 25%"
"Aerospace & Defence","AXISCADES Technologies Ltd",AXISCADES,51.81,22.13,26,4,22,73.33,"Rest"
"Aerospace & Defence","Jaykay Enterprises Ltd",JAYKAY,50.63,-5.61,27,12,15,50,"Rest"
"Aerospace & Defence","Mishra Dhatu Nigam Ltd",MIDHANI,48.71,-11.39,28,19,9,30,"Rest"
"Aerospace & Defence","High Energy Batteries (India) Ltd",504176,43.95,-14.84,29,23,6,20,"Within 25%"
"Aerospace & Defence","ITI Ltd",ITI,36.00,-8.59,30,14,16,53.33,"Rest"
"Agro Chemicals","P I Industries Ltd",PIIND,79.80,-19.81,1,7,6,25,"Within 25%"
"Agro Chemicals","Best Agrolife Ltd",BESTAGRO,79.17,-33.15,2,16,14,58.33,"Rest"
"Agro Chemicals","Shivalik Rasayan Ltd",SHIVALIK,70.96,-45.18,3,23,20,83.33,"Rest"
"Agro Chemicals","Bhaskar Agrochemicals Ltd",524534,70.06,10.16,4,2,2,8.33,"Within 10%"
"Agro Chemicals","UPL Ltd",UPL,68.27,-12.58,5,4,1,4.17,"Within 10%"
"Agro Chemicals","Sumitomo Chemical India Ltd",SUMICHEM,66.87,-32.88,6,15,9,37.5,"Rest"
"Agro Chemicals","Dharmaj Crop Guard Ltd",DHARMAJ,64.09,-35.37,7,18,11,45.83,"Rest"
"Agro Chemicals","Dhanuka Agritech Ltd",DHANUKA,62.99,-33.20,8.5,17,8.5,35.42,"Rest"
"Agro Chemicals","India Pesticides Ltd",IPL,62.99,-31.17,8.5,13,4.5,18.75,"Within 25%"
"Agro Chemicals","Bharat Rasayan Ltd",BHARATRAS,61.41,-41.79,10,20,10,41.67,"Rest"
"Agro Chemicals","Excel Industries Ltd",EXCELINDUS,61.14,-25.23,11,8,3,12.5,"Within 25%"
"Agro Chemicals","Heranba Industries Ltd",HERANBA,60.48,-43.77,12,22,10,41.67,"Rest"
"Agro Chemicals","Punjab Chemicals & Crop Protection Ltd",PUNJABCHEM,58.90,-8.89,13,3,10,41.67,"Rest"
"Agro Chemicals","Bayer CropScience Ltd",BAYERCROP,58.56,-14.34,14,6,8,33.33,"Rest"
"Agro Chemicals","Astec Lifesciences Ltd",ASTEC,57.39,-31.42,15,14,1,4.17,"Within 10%"
"Agro Chemicals","Sharda Cropchem Ltd",SHARDACROP,56.02,23.69,16,1,15,62.5,"Rest"
"Agro Chemicals","Insecticides India Ltd",INSECTICID,53.67,-25.77,17,9,8,33.33,"Rest"
"Agro Chemicals","Meghmani Organics Ltd",MOL,51.90,-39.47,18,19,1,4.17,"Within 10%"
"Agro Chemicals","Aimco Pesticides Ltd",AIMCOPEST,51.74,-42.51,19,21,2,8.33,"Within 10%"
"Agro Chemicals","Rallis India Ltd",RALLIS,51.37,-26.79,20,11,9,37.5,"Rest"
"Agro Chemicals","Bhagiradha Chemicals & Industries Ltd",BHAGCHEM,45.79,-26.55,21,10,11,45.83,"Rest"
"Agro Chemicals","Super Crop Safe Ltd",530883,45.57,-28.15,22,12,10,41.67,"Rest"
"Agro Chemicals","NACL Industries Ltd",NACLIND,43.14,-48.99,23,24,1,4.17,"Within 10%"
"Agro Chemicals","Phyto Chem (India) Ltd",524808,31.68,-13.83,24,5,19,79.17,"Rest"
"Alcoholic Beverages","United Spirits Ltd",UNITDSPR,75.40,6.19,1,4,3,15,"Within 25%"
"Alcoholic Beverages","Suraj Industries Ltd",526211,74.75,-2.60,2,6,4,20,"Within 25%"
"Alcoholic Beverages","United Breweries Ltd",UBL,67.29,-15.27,3,11,8,40,"Rest"
"Alcoholic Beverages","G M Breweries Ltd",GMBREW,66.73,47.15,4,1,3,15,"Within 25%"
"Alcoholic Beverages","Sula Vineyards Ltd",SULA,64.97,-35.95,5,18,13,65,"Rest"
"Alcoholic Beverages","India Glycols Ltd",INDIAGLYCO,63.88,8.61,6,3,3,15,"Within 25%"
"Alcoholic Beverages","Associated Alcohols & Breweries Ltd",ASALCBR,62.30,-22.36,7,13,6,30,"Rest"
"Alcoholic Beverages","Radico Khaitan Ltd",RADICO,59.33,-5.75,8,8,0,0,"Exact Match"
"Alcoholic Beverages","Piccadily Agro Industries Ltd",PICCADIL,58.19,-3.73,9,7,2,10,"Within 10%"
"Alcoholic Beverages","Tilaknagar Industries Ltd",TI,54.94,-9.47,10,10,0,0,"Exact Match"
"Alcoholic Beverages","IFB Agro Industries Ltd",IFBAGRO,52.85,9.82,11,2,9,45,"Rest"
"Alcoholic Beverages","Globus Spirits Ltd",GLOBUSSPR,52.30,-26.78,12,14,2,10,"Within 10%"
"Alcoholic Beverages","Gulshan Polyols Ltd",GULPOLY,51.80,-7.05,13,9,4,20,"Within 25%"
"Alcoholic Beverages","BCL Industries Ltd",BCLIND,50.72,-33.64,14,17,3,15,"Within 25%"
"Alcoholic Beverages","Shri Gang Industries & Allied Products Ltd",523309,49.01,5.68,15,5,10,50,"Rest"
"Alcoholic Beverages","Som Distilleries & Breweries Ltd",SDBL,44.14,-43.29,16,19,3,15,"Within 25%"
"Alcoholic Beverages","Ravikumar Distilleries Ltd",RKDL,37.52,-30.90,17,15,2,10,"Within 10%"
"Alcoholic Beverages","Tahmar Enterprises Ltd",516032,36.62,-45.59,18,20,2,10,"Within 10%"
"Alcoholic Beverages","Jagatjit Industries Ltd",JAGAJITIND,36.42,-21.25,19,12,7,35,"Rest"
"Alcoholic Beverages","Piccadily Sugar & Allied Inds Ltd",PICCADSUG,35.33,-33.32,20,16,4,20,"Within 25%"
"Auto Ancillaries","Sona BLW Precision Forgings Ltd",SONACOMS,91.49,20.50,1,18,17,17.35,"Within 25%"
"Auto Ancillaries","Jamna Auto Industries Ltd",JAMNAAUTO,89.12,40.83,2,9,7,7.14,"Within 10%"
"Auto Ancillaries","Motherson Sumi Wiring India Ltd",MSUMI,83.02,4.56,3,32,29,29.59,"Rest"
"Auto Ancillaries","Varroc Engineering Ltd",VARROC,80.90,-0.05,4,39,35,35.71,"Rest"
"Auto Ancillaries","ZF Commercial Vehicle Control System India Ltd",ZFCVINDIA,80.54,6.30,5,29,24,24.49,"Within 25%"
"Auto Ancillaries","Containe Technologies Ltd",543606,80.38,-55.44,6,98,92,93.88,"Rest"
"Auto Ancillaries","Automotive Axles Ltd",AUTOAXLES,80.22,15.72,7,20,13,13.27,"Within 25%"
"Auto Ancillaries","Pavna Industries Ltd",PAVNAIND,79.35,-47.73,8,97,89,90.82,"Rest"
"Auto Ancillaries","JTEKT India Ltd",JTEKTINDIA,78.20,6.61,9,28,19,19.39,"Within 25%"
"Auto Ancillaries","Wheels India Ltd",WHEELS,77.72,18.01,10,19,9,9.18,"Within 10%"
"Auto Ancillaries","Autoline Industries Ltd",AUTOIND,77.04,5.73,11,31,20,20.41,"Within 25%"
"Auto Ancillaries","Suprajit Engineering Ltd",SUPRAJIT,76.34,-1.62,12,42,30,30.61,"Rest"
"Auto Ancillaries","Sansera Engineering Ltd",SANSERA,75.60,81.93,13,3,10,10.2,"Within 25%"
"Auto Ancillaries","Endurance Technologies Ltd",ENDURANCE,75.03,-5.55,14,48,34,34.69,"Rest"
"Auto Ancillaries","ASK Automotive Ltd",ASKAUTOLTD,74.41,-16.55,15,73,58,59.18,"Rest"
"Auto Ancillaries","Sundram Fasteners Ltd",SUNDRMFAST,74.24,-8.76,16,57,41,41.84,"Rest"
"Auto Ancillaries","PPAP Automotive Ltd",PPAP,74.05,-7.32,17,54,37,37.76,"Rest"
"Auto Ancillaries","Pritika Auto Industries Ltd",PRITIKAUTO,73.77,-27.96,18,88,70,71.43,"Rest"
"Auto Ancillaries","Talbros Engineering Ltd",538987,72.55,14.73,19,21,2,2.04,"Within 10%"
"Auto Ancillaries","Rane Brake Lining Ltd",RBL,71.97,0.00,20,37.5,17.5,17.86,"Within 25%"
"Auto Ancillaries","Samvardhana Motherson International Ltd",MOTHERSON,71.64,39.96,21,10,11,11.22,"Within 25%"
"Auto Ancillaries","New Swan Multitech Ltd",544082,71.56,-31.25,22,93.5,71.5,72.96,"Rest"
"Auto Ancillaries","Hindustan Composites Ltd",HINDCOMPOS,71.51,-11.09,23,64,41,41.84,"Rest"
"Auto Ancillaries","India Nippon Electricals Ltd",INDNIPPON,70.43,3.25,24,33,9,9.18,"Within 10%"
"Auto Ancillaries","Uno Minda Ltd",UNOMINDA,70.41,-3.86,25,46,21,21.43,"Within 25%"
"Auto Ancillaries","Machino Plastics Ltd",523248,69.18,-1.66,26,43,17,17.35,"Within 25%"
"Auto Ancillaries","Sandhar Technologies Limited",SANDHAR,69.16,13.78,27,25,2,2.04,"Within 10%"
"Auto Ancillaries","Amara Raja Energy & Mobility Ltd",ARE&M,68.87,-13.95,28,69,41,41.84,"Rest"
"Auto Ancillaries","Lumax Industries Ltd",LUMAXIND,68.11,61.88,29,4,25,25.51,"Rest"
"Auto Ancillaries","Menon Pistons Ltd",531727,67.84,-12.00,30,66,36,36.73,"Rest"
"Auto Ancillaries","L G Balakrishnan & Bros Ltd",LGBBROSLTD,67.56,47.77,31,7,24,24.49,"Within 25%"
"Auto Ancillaries","Bharat Seats Ltd",BHARATSE,67.39,42.94,32,8,24,24.49,"Within 25%"
"Auto Ancillaries","Pricol Ltd",PRICOLLTD,67.37,39.39,33,11,22,22.45,"Within 25%"
"Auto Ancillaries","Bosch Ltd",BOSCHLTD,67.20,-6.98,34,52,18,18.37,"Within 25%"
"Auto Ancillaries","Minda Corporation Ltd",MINDACORP,67.13,14.05,35,24,11,11.22,"Within 25%"
"Auto Ancillaries","GNA Axles Ltd",GNA,66.49,34.04,36,13,23,23.47,"Within 25%"
"Auto Ancillaries","IST Ltd",508807,66.38,-18.37,37,75,38,38.78,"Rest"
"Auto Ancillaries","Hindustan Hardy Ltd",505893,65.93,-31.03,38,92,54,55.1,"Rest"
"Auto Ancillaries","Subros Ltd",SUBROS,65.16,-8.26,39,56,17,17.35,"Within 25%"
"Auto Ancillaries","Fiem Industries Ltd",FIEMIND,65.15,9.64,40,27,13,13.27,"Within 25%"
"Auto Ancillaries","Sharda Motor Industries Ltd",SHARDAMOTR,64.85,-9.37,41,62,21,21.43,"Within 25%"
"Auto Ancillaries","India Motor Parts & Accessories Ltd",IMPAL,64.58,-0.39,42,40,2,2.04,"Within 10%"
"Auto Ancillaries","RACL Geartech Ltd",RACLGEAR,64.55,53.48,43,5,38,38.78,"Rest"
"Auto Ancillaries","Gabriel India Ltd",GABRIEL,64.46,-15.11,44,71,27,27.55,"Rest"
"Auto Ancillaries","Rane Engine Valve Ltd",RANEENGINE,64.35,0.00,45,37.5,7.5,7.65,"Within 10%"
"Auto Ancillaries","Automotive Stampings & Assemblies Ltd",ASAL,64.33,-7.10,46,53,7,7.14,"Within 10%"
"Auto Ancillaries","Frontier Springs Ltd",522195,64.04,-13.09,47,68,21,21.43,"Within 25%"
"Auto Ancillaries","Enkei Wheels India Ltd",533477,63.88,-6.04,48,49,1,1.02,"Within 10%"
"Auto Ancillaries","HBL Engineering Ltd",HBLENGINE,63.64,-11.96,49,65,16,16.33,"Within 25%"
"Auto Ancillaries","Rane (Madras) Ltd",RML,63.53,-9.00,50,59,9,9.18,"Within 10%"
"Auto Ancillaries","Ucal Ltd",UCAL,63.52,-20.91,51,77,26,26.53,"Rest"
"Auto Ancillaries","Jay Ushin Ltd",513252,63.26,25.88,52,16,36,36.73,"Rest"
"Auto Ancillaries","Jagan Lamps Ltd",530711,63.22,-26.80,53,86,33,33.67,"Rest"
"Auto Ancillaries","Harsha Engineers International Ltd",HARSHA,63.04,-9.04,54,60,6,6.12,"Within 10%"
"Auto Ancillaries","SM Auto Stamping Ltd",543065,62.71,-24.56,55,81.5,26.5,27.04,"Rest"
"Auto Ancillaries","Federal-Mogul Goetze (India) Ltd",FMGOETZE,61.99,-22.51,56,78,22,22.45,"Within 25%"
