sector,stock_count,exact_match_count,exact_match_pct,within_10pct_count,within_10pct_pct,within_25pct_count,within_25pct_pct,rest_count,rest_pct,spearman_correlation
"Trading",328,0,0,53,16.16,84,25.61,191,58.23,-0.173
"Textiles",236,1,0.42,36,15.25,54,22.88,145,61.44,-0.100
"IT - Software",207,3,1.45,33,15.94,45,21.74,126,60.87,-0.078
"Finance",178,2,1.12,41,23.03,44,24.72,91,51.12,0.273
"Pharmaceuticals",174,2,1.15,33,18.97,34,19.54,105,60.34,-0.070
"Chemicals",162,1,0.62,46,28.4,43,26.54,72,44.44,0.102
"Realty",152,0,0,30,19.74,34,22.37,88,57.89,-0.016
"Miscellaneous",139,1,0.72,27,19.42,34,24.46,77,55.4,-0.103
"FMCG",130,0,0,23,17.69,30,23.08,77,59.23,-0.025
"Steel",105,1,0.95,14,13.33,34,32.38,56,53.33,-0.036
"Capital Goods-Non Electrical Equipment",100,3,3,24,24,27,27,46,46,0.073
"Auto Ancillaries",98,0,0,23,23.47,30,30.61,45,45.92,0.248
"Infrastructure Developers & Operators",94,0,0,18,19.15,27,28.72,49,52.13,0.030
"Packaging",70,1,1.43,14,20,17,24.29,38,54.29,-0.076
"Hotels & Restaurants",66,0,0,9,13.64,20,30.3,37,56.06,-0.160
"Healthcare",66,1,1.52,11,16.67,12,18.18,42,63.64,-0.163
"Plastic products",65,4,6.15,18,27.69,12,18.46,31,47.69,-0.086
"Consumer Durables",64,1,1.56,13,20.31,14,21.88,36,56.25,-0.124
"Entertainment",63,0,0,16,25.4,14,22.22,33,52.38,-0.005
"Capital Goods - Electrical Equipment",62,1,1.61,13,20.97,16,25.81,32,51.61,0.201
"Diamond, Gems and Jewellery",61,0,0,11,18.03,12,19.67,38,62.3,0.078
"Retail",55,0,0,9,16.36,14,25.45,32,58.18,-0.219
"Construction",47,0,0,5,10.64,14,29.79,28,59.57,-0.140
"Castings, Forgings & Fastners",46,2,4.35,10,21.74,13,28.26,21,45.65,0.253
"Logistics",45,2,4.44,8,17.78,18,40,17,37.78,0.228
"Stock/ Commodity Brokers",36,1,2.78,11,30.56,7,19.44,17,47.22,0.089
"Sugar",35,2,5.71,6,17.14,6,17.14,21,60,-0.086
"Paper",33,1,3.03,4,12.12,7,21.21,21,63.64,-0.237
"Diversified",33,2,6.06,7,21.21,9,27.27,15,45.45,0.195
"Power Generation & Distribution",32,1,3.13,11,34.38,8,25,12,37.5,0.396
"Plantation & Plantation Products",31,0,0,9,29.03,6,19.35,16,51.61,0.079
"Aerospace & Defence",30,0,0,3,10,10,33.33,17,56.67,0.208
"Non Ferrous Metals",30,2,6.67,8,26.67,5,16.67,15,50,0.056
"Cement",30,1,3.33,9,30,6,20,14,46.67,0.367
"E-Commerce/App based Aggregator",25,1,4,4,16,6,24,14,56,-0.305
"Agro Chemicals",24,0,0,6,25,3,12.5,15,62.5,0.016
"Cables",20,0,0,5,25,5,25,10,50,0.008
"Alcoholic Beverages",20,2,10,4,20,8,40,6,30,0.543
"Mining & Mineral products",20,0,0,5,25,7,35,8,40,0.257
"Automobile",19,0,0,5,26.32,6,31.58,8,42.11,0.249
"Leather",19,1,5.26,1,5.26,6,31.58,11,57.89,-0.058
"Fertilizers",19,1,5.26,1,5.26,9,47.37,8,42.11,0.084
"Education",19,1,5.26,3,15.79,4,21.05,11,57.89,-0.046
"Edible Oil",18,1,5.56,2,11.11,5,27.78,10,55.56,-0.352
"Engineering",16,2,12.5,1,6.25,5,31.25,8,50,-0.138
"Printing & Stationery",15,1,6.67,2,13.33,3,20,9,60,0.229
"Media - Print/Television/Radio",15,1,6.67,3,20,5,33.33,6,40,0.057
"Readymade Garments/ Apparells",14,1,7.14,2,14.29,3,21.43,8,57.14,-0.437
"Telecom Equipment & Infra Services",13,0,0,3,23.08,5,38.46,5,38.46,-0.088
"Telecom-Service",12,3,25,2,16.67,1,8.33,6,50,0.084
"Plywood Boards/Laminates",12,2,16.67,2,16.67,2,16.67,6,50,-0.056
"Electronics",11,2,18.18,1,9.09,0,0,8,72.73,-0.664
"Bearings",10,1,10,4,40,2,20,3,30,0.636
"Petrochemicals",10,1,10,3,30,2,20,4,40,0.006
"IT - Hardware",9,0,0,0,0,2,22.22,7,77.78,0.183
"Ceramic Products",9,0,0,0,0,2,22.22,7,77.78,-0.667
"Tyres",9,1,11.11,0,0,2,22.22,6,66.67,0.117
"Shipping",9,1,11.11,0,0,5,55.56,3,33.33,0.033
"Glass & Glass Products",8,0,0,0,0,3,37.5,5,62.5,-0.238
"Paints/Varnish",8,2,25,0,0,2,25,4,50,0.000
"Gas Distribution",8,2,25,0,0,2,25,4,50,-0.310
"Refractories",8,1,12.5,0,0,2,25,5,62.5,0.048
"Crude Oil & Natural Gas",8,0,0,0,0,4,50,4,50,-0.310
"Computer Education",8,1,12.5,0,0,3,37.5,4,50,0.000
"Refineries",8,0,0,0,0,3,37.5,5,62.5,-0.619
"Ferro Alloys",8,1,12.5,0,0,1,12.5,6,75,-0.476
"Infrastructure Investment Trusts",7,0,0,0,0,2,28.57,5,71.43,-0.357
"Quick Service Restaurant",7,2,28.57,0,0,2,28.57,3,42.86,0.357
"Tobacco Products",7,1,14.29,0,0,1,14.29,5,71.43,0.036
"Cement - Products",7,0,0,0,0,3,42.86,4,57.14,0.179
"Ship Building",6,0,0,0,0,2,33.33,4,66.67,-0.143
