sector,stock_count,avg_score,avg_return_pct,winsorized_avg_return_pct,median_return_pct,correlation,best_stock,best_return,worst_stock,worst_return
"Trading",328,53.07,-2.63,-2.99,-12,-0.165,"Transchem Ltd",262.84,"Mehai Technology Ltd",-83.86
"Textiles",236,52.65,-5.31,-6.36,-13.02,-0.156,"Alka India Ltd",331.85,"Padam Cotton Yarns Ltd",-72.84
"IT - Software",207,58.76,-6.36,-10.35,-19.91,-0.068,"Covidh Technologies Ltd",613.89,"Cura Technologies Ltd",-73.55
"Finance",178,43.2,14.6,-0.95,-9.31,0.156,"Shree Salasar Investments Ltd",1753.57,"Worth Investment & Trading Company Ltd",-87.74
"Pharmaceuticals",174,58.43,-5.47,-5.5,-12.77,-0.125,"Phaarmasia Ltd",206.02,"Desh Rakshak Aushdhalaya Ltd",-69.57
"Chemicals",162,60.84,-14.88,-14.88,-17.38,0.067,"Ritesh International Ltd",118.1,"Daikaffil Chemicals India Ltd",-70.42
"Realty",152,51.68,-5.48,-11.21,-15.24,-0.029,"Emrock Corporation Limited",1069.75,"Zodiac Ventures Ltd",-77.59
"Miscellaneous",139,56.7,1.1,-5.45,-11.83,0.077,"Trade-Wings Ltd",1110.21,"Vasudhagama Enterprises Ltd",-58.53
"FMCG",130,58.1,-2.81,-3.02,-11.15,0.005,"Apis India Ltd",227.6,"Sarveshwar Foods Ltd",-50.06
"Steel",105,55.67,45.02,3.46,-9.29,-0.13,"Steelco Gujarat Ltd",4354.55,"Kamdhenu Ventures Ltd",-57.51
"Capital Goods-Non Electrical Equipment",100,59.38,-8.47,-12.47,-20.56,-0.07,"Axis Solutions Ltd",600.47,"Bemco Hydraulics Ltd",-55.61
"Auto Ancillaries",98,63.14,0.97,0.97,-6.36,0.123,"PAE Ltd",167.61,"Containe Technologies Ltd",-55.44
"Infrastructure Developers & Operators",94,56.89,-21.13,-21.13,-23.89,0.051,"Brahmaputra Infrastructure Ltd",84.5,"Shree Krishna Infrastructure Ltd",-80.39
"Packaging",70,56.19,-12.67,-12.67,-16.25,-0.08,"Garware Hi Tech Films Ltd",34.89,"Rajeshwari Cans Ltd",-83.77
"Hotels & Restaurants",66,55.23,-12.68,-13.4,-18.49,-0.129,"Spice Islands Industries Ltd",247.27,"Espire Hospitality Ltd",-50.61
"Healthcare",66,60.86,0.87,-0.6,-9.73,-0.161,"Take Solutions Ltd",296.75,"Choksi Laboratories Ltd",-50.06
"Plastic products",65,59.8,-7.05,-9.37,-14.87,-0.274,"Jauss Polymers Ltd",350.37,"Yuvraaj Hygiene Products Ltd",-71.35
"Consumer Durables",64,57.53,2.56,-4.77,-18.27,-0.198,"Glittek Granites Ltd",669.24,"Comrade Appliances Ltd",-60.38
"Entertainment",63,52.26,-9.86,-9.86,-8.35,0.069,"Baba Arts Ltd",60.61,"Vashu Bhagnani Industries Ltd",-63.54
"Capital Goods - Electrical Equipment",62,56.72,-12.05,-12.05,-21.42,0.164,"Modern Insulators Ltd",122.61,"Websol Energy System Ltd",-57
