stock_id,stock_name,symbol,sector,overall_score,verdict,return_pct,Revenue Growth_raw,Revenue Growth_score,EBITDA Growth_raw,EBITDA Growth_score,Earnings (PBT-OI)_raw,Earnings (PBT-OI)_score,ROE_raw,ROE_score,OCF/EBITDA CAGR_raw,OCF/EBITDA CAGR_score,Gross Block_raw,Gross Block_score,Debt/EBITDA_raw,Debt/EBITDA_score,PE vs 5Y_raw,PE vs 5Y_score,PB vs 5Y_raw,PB vs 5Y_score,EV vs 5Y_raw,EV vs 5Y_score,Revenue Multiplier_raw,Revenue Multiplier_score,EBITDA Multiplier_raw,EBITDA Multiplier_score,20-DMA_raw,20-DMA_score,50-DMA_raw,50-DMA_score,200-DMA_raw,200-DMA_score,RSI_raw,RSI_score,VPT_raw,VPT_score
18341,"Sona BLW Precision Forgings Ltd",SONACOMS,"Auto Ancillaries",91.49,STRONG BUY,20.5,23.7840,100,25.5520,100,25.1496,100,18.0193,85,24.8842,100,10.8258,80,-1.9956,100,67.5530,100,50.9437,100,63.0322,100,NA,EXCLUDED,NA,EXCLUDED,-0.6800,30,-3.5700,20,-13.5900,-10,46.3000,70,-3445.0100,30
70987,"Riddhi Corporate Services Ltd",540590,"IT - Software",90.70,STRONG BUY,-11.21,31.3055,100,50.7087,100,64.4780,100,16.1577,85,6.3750,60,-8.3964,EXCLUDED,1.5493,75,40.8951,100,50.2853,100,50.7795,100,NA,EXCLUDED,NA,EXCLUDED,4.1200,70,8.7100,100,5.4300,100,59.7900,100,1593.8100,30
1149,"Jamna Auto Industries Ltd",JAMNAAUTO,"Auto Ancillaries",89.12,STRONG BUY,40.83,20.3440,100,23.6285,100,30.8635,100,21.1428,95,11.5827,70,13.4005,85,0.7198,95,84.5433,85,85.9482,85,87.4373,85,NA,EXCLUDED,NA,EXCLUDED,7.0200,100,9.6000,100,8.4200,100,64.5200,100,1859.9600,100
76355,"Aether Industries Ltd",AETHER,"Chemicals",88.43,STRONG BUY,25.82,16.3928,95,23.4574,100,15.6273,95,21.6004,95,21.5602,100,33.0480,100,-1.2049,100,75.3804,90,77.9631,90,75.3038,90,NA,EXCLUDED,NA,EXCLUDED,1.1200,70,-0.0800,30,-4.7700,20,52.8300,100,319.3400,20
20696,"AWL Agri Business Ltd",AWL,"FMCG",87.37,STRONG BUY,-26.17,13.5848,80,16.7084,95,21.1381,100,12.3845,75,5.9801,60,11.9876,80,-0.8267,100,46.7728,100,66.1664,100,56.5226,100,NA,EXCLUDED,NA,EXCLUDED,-0.0700,30,-1.2300,20,-7.5100,-10,48.3200,70,723.4900,30
3283,"Crestchem Ltd",526269,"Chemicals",87.16,STRONG BUY,-26.68,34.9392,100,51.1494,100,50.9945,100,39.8755,100,-6.7367,20,50.7395,100,-0.1965,100,66.6934,100,69.2202,100,68.6974,100,NA,EXCLUDED,NA,EXCLUDED,-12.9200,-10,-21.7600,-10,-33.7000,-10,26.3100,20,1066.8400,30
4684,"Natco Pharma Ltd",NATCOPHARM,"Pharmaceuticals",86.93,STRONG BUY,10.86,25.9528,100,47.6562,100,59.9359,100,15.8531,85,17.4890,95,10.0625,80,-1.5079,100,51.0248,100,80.8021,85,49.1269,100,NA,EXCLUDED,NA,EXCLUDED,-3.3800,20,-4.5000,20,-11.4200,-10,40.4100,70,465.4800,30
1700,"Eyantra Ventures Ltd",512099,"Trading",86.91,STRONG BUY,0.97,37.9490,100,66.6802,100,64.6125,100,13.8345,75,NA,EXCLUDED,409.5023,100,-10.6464,100,85.7053,85,53.2952,100,80.0405,85,NA,EXCLUDED,NA,EXCLUDED,-1.8200,20,-3.2700,20,-1.4300,20,45.9700,70,1067.7600,30
91706,"Quest Flow Controls Ltd",543982,"Capital Goods-Non Electrical Equipment",86.43,STRONG BUY,-38.41,41.3560,100,103.0335,100,190.0042,100,44.9617,100,-38.0434,10,37.8104,100,0.1364,95,68.6398,100,51.6389,100,58.8447,100,NA,EXCLUDED,NA,EXCLUDED,-11.0200,-10,-18.3100,-10,-35.8700,-10,25.0200,20,911.6600,30
1627,"Navneet Education Ltd",NAVNETEDUL,"Printing & Stationery",86.12,STRONG BUY,-6.37,21.1006,100,28.6733,100,86.4475,100,19.6584,85,-21.7168,10,41.4398,100,0.3876,95,45.3231,100,99.4755,80,103.2903,80,NA,EXCLUDED,NA,EXCLUDED,8.2800,100,8.9800,100,10.4300,100,67.1800,70,1201.7600,100
76651,"Goel Food Products Ltd",543538,"Hotels & Restaurants",85.46,STRONG BUY,-29.14,12.3583,80,31.6877,100,108.0652,100,22.5061,95,33.7781,100,-4.6822,EXCLUDED,2.4559,65,56.7129,100,54.8135,100,78.4031,90,NA,EXCLUDED,NA,EXCLUDED,-3.9400,20,-3.8100,20,-16.3400,-10,42.0500,70,855.8200,30
40942,"Avenue Supermarts Ltd",DMART,"Retail",85.04,STRONG BUY,-17.28,24.6677,100,24.7001,100,29.0850,100,13.5526,75,-6.1650,20,21.5453,95,0.0764,95,92.5624,85,94.6903,85,91.7851,85,NA,EXCLUDED,NA,EXCLUDED,7.0100,100,10.3300,100,13.7100,100,73.3800,30,376.9200,100
77758,"Silicon Rental Solutions Ltd",543615,"Miscellaneous",84.74,STRONG BUY,-51.95,65.3740,100,48.0475,100,47.4538,100,32.0866,100,-4.8826,30,31.4066,100,-0.5250,100,94.8989,85,69.6604,100,76.2092,90,NA,EXCLUDED,NA,EXCLUDED,-4.0500,20,-10.8000,-10,-23.4500,-10,36.8900,30,1069.5600,30
4244,"Adani Enterprises Ltd",ADANIENT,"Trading",84.64,STRONG BUY,-0.97,19.7887,95,31.6923,100,138.6690,100,17.5370,85,NA,EXCLUDED,28.6869,100,2.5515,55,39.8627,100,55.3180,100,83.7160,85,NA,EXCLUDED,NA,EXCLUDED,-2.1500,20,-4.6400,20,-7.4900,-10,41.5000,70,1165.1100,30
40963,"Tube Investments of India Ltd",TIINDIA,"Capital Goods-Non Electrical Equipment",84.54,STRONG BUY,-14.76,19.1427,95,33.3457,100,24.3796,100,20.3220,95,-23.9440,10,19.2554,90,0.0342,95,68.9510,100,92.4739,85,81.7299,85,NA,EXCLUDED,NA,EXCLUDED,1.9500,70,3.4300,70,-1.5100,20,56.7600,100,-253.5700,30
76794,"Modis Navnirman Ltd",MODIS,"Construction",84.39,STRONG BUY,13.42,37.0037,100,50.4924,100,45.8211,100,5595.6148,100,NA,EXCLUDED,87.7551,100,0.1599,95,47.1780,100,87.0698,85,44.9376,100,NA,EXCLUDED,NA,EXCLUDED,3.2300,70,5.0600,100,10.0400,100,64.1900,100,1274.9100,30
30245,"Rolex Rings Ltd",ROLEXRINGS,"Castings, Forgings & Fastners",84.30,STRONG BUY,1.54,17.5480,95,24.4187,100,25.7128,100,24.2147,95,12.4945,80,-4.7167,EXCLUDED,-1.2409,100,86.4173,85,69.8423,100,87.5001,85,NA,EXCLUDED,NA,EXCLUDED,-2.0900,20,-4.5600,20,-14.7100,-10,42.4200,70,-82.3400,80
1099,"Ashnoor Textile Mills Ltd",507872,"Textiles",84.26,STRONG BUY,-11.04,11.5949,70,25.6990,100,23.0388,100,15.4971,85,24.3485,100,-5.0959,EXCLUDED,0.9732,95,80.5126,85,31.3405,100,36.7945,100,NA,EXCLUDED,NA,EXCLUDED,0.3800,30,-4.9200,20,-10.8900,-10,47.3900,70,1085.1600,30
