stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
18341,"Sona BLW Precision Forgings Ltd",SONACOMS,"Auto Ancillaries",Small Cap,91.49,STRONG BUY,95.75,100.00,0.00,18.50,449.55,541.7,20.5,24.16
70987,"Riddhi Corporate Services Ltd",540590,"IT - Software",Small Cap,90.70,STRONG BUY,79.25,100.00,0.00,80.00,73.21,65,-11.21,-7.55
1149,"Jamna Auto Industries Ltd",JAMNAAUTO,"Auto Ancillaries",Small Cap,89.12,STRONG BUY,92.75,85.00,0.00,100.00,102.07,143.75,40.83,44.49
76355,"Aether Industries Ltd",AETHER,"Chemicals",Small Cap,88.43,STRONG BUY,97.50,90.00,0.00,39.50,771.8,971.05,25.82,29.48
20696,"AWL Agri Business Ltd",AWL,"FMCG",Small Cap,87.37,STRONG BUY,84.50,100.00,0.00,18.50,258.35,190.75,-26.17,-22.51
3283,"Crestchem Ltd",526269,"Chemicals",Small Cap,87.16,STRONG BUY,88.00,100.00,0.00,1.00,123.9,90.84,-26.68,-23.02
4684,"Natco Pharma Ltd",NATCOPHARM,"Pharmaceuticals",Small Cap,86.93,STRONG BUY,95.00,92.50,0.00,16.50,882.7,978.55,10.86,14.52
1700,"Eyantra Ventures Ltd",512099,"Trading",Small Cap,86.91,STRONG BUY,81.25,100.00,0.00,27.00,945.05,954.2,0.97,4.63
91706,"Quest Flow Controls Ltd",543982,"Capital Goods-Non Electrical Equipment",Small Cap,86.43,STRONG BUY,86.00,100.00,0.00,1.00,294.3,181.25,-38.41,-34.75
1627,"Navneet Education Ltd",NAVNETEDUL,"Printing & Stationery",Small Cap,86.12,STRONG BUY,83.75,86.00,0.00,97.00,158.6,148.5,-6.37,-2.71
76651,"Goel Food Products Ltd",543538,"Hotels & Restaurants",Small Cap,85.46,STRONG BUY,82.75,98.00,0.00,16.50,17.5,12.4,-29.14,-25.48
40942,"Avenue Supermarts Ltd",DMART,"Retail",Large Cap,85.04,STRONG BUY,83.25,85.00,0.00,93.00,4697.8,3886.2,-17.28,-13.62
77758,"Silicon Rental Solutions Ltd",543615,"Miscellaneous",Small Cap,84.74,STRONG BUY,89.50,93.50,0.00,8.00,154,74,-51.95,-48.29
