stock_id,stock_name,symbol,sector,mcap_type,industry,financial_score,qm_score,technical_score,start_price,end_price,return_pct
56,"Ballarpur Industries Ltd",BALLARPUR,"Paper",Small Cap,"Paper - Medium / Small",4.00,0.00,58.50,0.89,0.89,0
84,"The Bombay Burmah Trading Corporation Ltd",BBTC,"Auto Ancillaries",Small Cap,"Auto Ancillaries - Electrical",44.25,0.00,12.50,1824.5,1761.8,-3.44
93,"Britannia Industries Ltd",BRITANNIA,"FMCG",Large Cap,"Food And Dairy Products - Multinational",68.50,0.00,62.00,5545.6,6151.55,10.93
118,"Colgate-Palmolive (India) Ltd",COLPAL,"FMCG",Mid Cap,"Personal Care - Multinational",65.50,0.00,43.50,2298.85,2270.4,-1.24
185,"Gajra Bevel Gears Ltd",505711,"Auto Ancillaries",Small Cap,"Auto Ancillaries - Gears",10.00,0.00,0.00,3.25,3.25,0
210,"Golden Tobacco Ltd",GOLDENTOBC,"Realty",Small Cap,"Construction - Factories / Offices / Commercial",16.00,0.00,37.50,36.2,29,-19.89
340,"Kothari Industrial Corporation Ltd",KOTHARINDL,"Trading",Small Cap,"Trading - Medium / Small",27.50,0.00,79.00,546.85,179.65,-67.15
347,"Lakshmi Precision Screws Ltd",LAKPRE,"Castings, Forgings & Fastners",Small Cap,"Fasteners",22.75,0.00,100.00,6.58,5.59,-15.05
363,"Maharashtra Scooters Ltd",MAHSCOOTER,"Finance",Small Cap,"Finance - Investment / Others",45.25,0.00,80.00,15575.5,13271.75,-14.79
382,"Mipco Seamless Rings (Gujarat) Ltd",505797,"IT - Software",Small Cap,"Computers - Software - Medium / Small",1.00,0.00,0.00,24.26,25.6,5.52
383,"Modella Woollens Ltd",503772,"Trading",Small Cap,"Trading - Medium / Small",4.00,0.00,86.00,69.4,68.1,-1.87
394,"Saptak Chem & Business Ltd",506906,"Retail",Small Cap,"Trading - Medium / Small",6.25,0.00,100.00,4.5,59.2,1215.56
409,"Naperol Investments Ltd",NATPEROXID,"Finance",Small Cap,"Finance - Investment / Others",27.50,0.00,10.00,946.9,634.7,-32.97
429,"Panyam Cements & Mineral Industries Ltd",PANYAMCEM,"Cement",Small Cap,"Cement - Mini - South India",27.50,10.00,30.50,146.35,123.05,-15.92
447,"Premier Ltd",PREMIER,"Capital Goods-Non Electrical Equipment",Small Cap,"Machine Tools - Others",2.50,0.00,46.00,3.68,2.86,-22.28
