sector,stock_count,exact_count,exact_pct,within_10_count,within_10_pct,within_25_count,within_25_pct,rest_count,rest_pct,cumulative_within_25_pct,avg_deviation_pct,spearman_correlation,size_category
"Trading",312,0,0,57,18.27,74,23.72,181,58.01,41.99,34.51,-0.113,Large
"Textiles",228,0,0,48,21.05,55,24.12,125,54.82,45.18,32.98,-0.085,Large
"IT - Software",192,0,0,33,17.19,47,24.48,112,58.33,41.67,34.21,-0.097,Large
"Finance",179,2,1.12,40,22.35,49,27.37,88,49.16,50.84,28.46,0.168,Large
"Pharmaceuticals",167,2,1.2,28,16.77,40,23.95,97,58.08,41.92,33.04,0.032,Large
"Chemicals",161,0,0,38,23.6,37,22.98,86,53.42,46.58,30.93,0.089,Large
"Realty",147,2,1.36,22,14.97,31,21.09,92,62.59,37.41,35.23,-0.125,Large
"Miscellaneous",123,1,0.81,23,18.7,29,23.58,70,56.91,43.09,34.5,-0.1,Large
"FMCG",120,0,0,22,18.33,34,28.33,64,53.33,46.67,32.33,0.054,Large
"Steel",99,3,3.03,14,14.14,21,21.21,61,61.62,38.38,34.45,-0.033,Large
"Capital Goods-Non Electrical Equipment",97,0,0,13,13.4,23,23.71,61,62.89,37.11,36.61,-0.133,Large
"Auto Ancillaries",96,1,1.04,28,29.17,25,26.04,42,43.75,56.25,25.46,0.331,Large
"Infrastructure Developers & Operators",84,2,2.38,15,17.86,22,26.19,45,53.57,46.43,31.58,0.076,Large
"Packaging",65,0,0,15,23.08,19,29.23,31,47.69,52.31,29.09,0.095,Large
"Hotels & Restaurants",61,2,3.28,14,22.95,18,29.51,27,44.26,55.74,30.66,0.026,Large
"Entertainment",60,0,0,13,21.67,22,36.67,25,41.67,58.33,30,0.072,Large
"Plastic products",60,0,0,9,15,19,31.67,32,53.33,46.67,32.33,0.036,Large
"Consumer Durables",60,0,0,9,15,14,23.33,37,61.67,38.33,34.42,-0.054,Large
"Healthcare",58,3,5.17,6,10.34,10,17.24,39,67.24,32.76,38.64,-0.321,Large
