stock_id,stock_name,symbol,sector,overall_score,verdict,return_pct,Revenue Growth_raw,Revenue Growth_score,EBITDA Growth_raw,EBITDA Growth_score,Earnings (PBT-OI)_raw,Earnings (PBT-OI)_score,ROE_raw,ROE_score,OCF/EBITDA CAGR_raw,OCF/EBITDA CAGR_score,Gross Block_raw,Gross Block_score,Debt/EBITDA_raw,Debt/EBITDA_score,PE vs 5Y_raw,PE vs 5Y_score,PB vs 5Y_raw,PB vs 5Y_score,EV vs 5Y_raw,EV vs 5Y_score,Revenue Multiplier_raw,Revenue Multiplier_score,EBITDA Multiplier_raw,EBITDA Multiplier_score,20-DMA_raw,20-DMA_score,50-DMA_raw,50-DMA_score,200-DMA_raw,200-DMA_score,RSI_raw,RSI_score,VPT_raw,VPT_score
28590,"Shankara Building Products Ltd",SHANKARA,"Retail",87.20,STRONG BUY,-34.67,35.3714,100,36.5892,100,118.0361,100,9.3000,55,11.1927,70,9.6439,70,0.3545,95,62.5364,100,86.2779,85,65.6194,100,NA,EXCLUDED,NA,EXCLUDED,-0.3100,30,5.9800,100,4.4700,70,53.2700,100,1784.9600,30
34,"Asian Paints Ltd",ASIANPAINT,"Paints/Varnish",86.98,STRONG BUY,5.76,19.2832,95,17.4129,95,18.3720,95,27.4029,100,0.9304,40,18.3359,90,-0.2800,100,59.8625,100,66.0931,100,62.4085,100,NA,EXCLUDED,NA,EXCLUDED,-4.8500,20,-12.0200,-10,-20.7300,-10,21.9500,20,9.3600,0
7772,"Satia Industries Ltd",SATIA,"Paper",86.26,STRONG BUY,-30.93,42.8844,100,44.8408,100,58.0449,100,21.7217,95,-8.0867,20,21.4291,95,0.6411,95,59.6229,100,66.3557,100,62.3304,100,NA,EXCLUDED,NA,EXCLUDED,-6.5800,-10,-10.1700,-10,-18.0300,-10,32.0000,30,807.9900,10
512,"Shri Dinesh Mills Ltd",SHRIDINESH,"Textiles",85.19,STRONG BUY,-41.24,13.7226,80,18.3826,95,112.1317,100,17.9716,85,NA,EXCLUDED,45.2872,100,-6.4315,100,43.3904,100,62.4126,100,34.6692,100,NA,EXCLUDED,NA,EXCLUDED,-1.1700,20,-4.2500,20,-13.6700,-10,45.4300,70,345.1400,30
70987,"Riddhi Corporate Services Ltd",540590,"IT - Software",84.64,STRONG BUY,-5.58,24.1200,100,62.9357,100,72.3856,100,14.7705,75,-4.0283,30,-18.4861,EXCLUDED,2.4671,65,52.0639,100,37.8889,100,47.2248,100,NA,EXCLUDED,NA,EXCLUDED,5.2000,100,4.1600,70,-21.2500,-10,58.1400,100,1425.7200,10
20703,"Indraprastha Gas Ltd",IGL,"Gas Distribution",84.57,STRONG BUY,-14.8,41.3022,100,18.6795,95,18.0628,95,20.1565,95,-15.9272,10,15.0931,90,-1.7894,100,73.2937,90,77.0558,90,69.1584,100,NA,EXCLUDED,NA,EXCLUDED,3.2200,70,-2.5200,20,-12.8200,-10,54.8800,100,-93.5500,100
44544,"Vistar Amar Ltd",538565,"FMCG",84.46,STRONG BUY,49.5,27.6840,100,16.2722,95,18.3073,95,31.7116,100,31.2911,100,-7.7831,EXCLUDED,-0.6711,100,86.2186,85,65.5424,100,85.7811,85,NA,EXCLUDED,NA,EXCLUDED,-2.1300,20,-3.8300,20,-19.1100,-10,45.9900,70,1012.4800,30
70386,"Starlineps Enterprises Ltd",540492,"Diamond, Gems and Jewellery",84.13,STRONG BUY,65.65,17.8023,95,128.6487,100,123.3349,100,2.8901,35,144.8998,100,-0.1966,EXCLUDED,-5.7251,100,23.5357,100,65.5070,100,13.6923,100,NA,EXCLUDED,NA,EXCLUDED,-7.1200,-10,-18.4100,-10,-44.4800,-10,32.0100,30,-837.2600,30
28695,"PNC Infratech Ltd",PNCINFRA,"Infrastructure Developers & Operators",83.89,STRONG BUY,-31.13,15.6393,95,20.3895,100,31.5255,100,15.7642,85,38.2989,100,-11.3354,EXCLUDED,-0.3203,100,65.2869,100,78.6435,90,73.6677,90,NA,EXCLUDED,NA,EXCLUDED,-2.6800,20,-8.5200,-10,-22.0400,-10,43.9400,70,574.7000,30
30486,"Varroc Engineering Ltd",VARROC,"Auto Ancillaries",83.77,STRONG BUY,-7.85,36.9353,100,27.8649,100,48.0344,100,18.9905,85,27.2274,100,42.1576,100,1.4933,80,53.4948,100,159.3991,60,87.8330,85,NA,EXCLUDED,NA,EXCLUDED,4.1500,70,7.2400,100,8.6000,100,62.1000,100,1207.2300,10
76651,"Goel Food Products Ltd",543538,"Hotels & Restaurants",83.59,STRONG BUY,-38.06,12.3583,80,31.6877,100,108.0652,100,22.5061,95,33.7781,100,-4.6822,EXCLUDED,2.4559,65,64.8796,100,62.7067,100,80.6809,85,NA,EXCLUDED,NA,EXCLUDED,-10.8100,-10,-29.2500,-10,-38.2700,-10,29.0800,20,760.4900,30
622,"Automotive Axles Ltd",AUTOAXLES,"Auto Ancillaries",83.35,STRONG BUY,14.16,34.9885,100,53.1708,100,107.8204,100,15.1388,85,14.1333,80,-7.4142,EXCLUDED,-0.5069,100,61.5335,100,87.5302,85,69.1947,100,NA,EXCLUDED,NA,EXCLUDED,-0.0300,30,-1.0700,20,-6.5600,-10,49.3300,70,1000.4900,30
73124,"Deep Polymers Ltd",541778,"Chemicals",83.18,STRONG BUY,-49.39,38.6308,100,72.0933,100,48.3056,100,14.7366,75,65.4931,100,203.2096,100,2.0341,65,86.3632,85,73.8250,90,79.6748,90,NA,EXCLUDED,NA,EXCLUDED,-4.0300,20,-8.2500,-10,-18.7400,-10,31.8700,30,1478.5700,30
67917,"TCI Express Ltd",TCIEXP,"Logistics",82.91,STRONG BUY,-34.84,13.9767,80,11.0433,70,10.2245,70,23.6498,95,-1.0111,30,20.7555,95,-0.5016,100,63.4946,100,54.7616,100,61.4100,100,NA,EXCLUDED,NA,EXCLUDED,-2.3800,20,-8.2000,-10,-22.2300,-10,38.7300,30,670.7900,30
1149,"Jamna Auto Industries Ltd",JAMNAAUTO,"Auto Ancillaries",82.82,STRONG BUY,49.58,31.1279,100,37.2932,100,46.9764,100,21.1273,95,-30.7008,10,9.6926,70,0.5297,95,56.9631,100,78.0779,90,64.1017,100,NA,EXCLUDED,NA,EXCLUDED,-4.9800,20,-9.5600,-10,-17.4500,-10,29.5700,20,1087.4100,30
17211,"Delta Corp Ltd",DELTACORP,"Miscellaneous",82.38,STRONG BUY,-44.84,43.4650,100,76.1338,100,60.9358,100,7.3380,55,-14.5716,10,3.1164,45,-1.6175,100,47.2952,100,60.3599,100,46.2659,100,NA,EXCLUDED,NA,EXCLUDED,-4.4900,20,-5.7300,-10,-12.6300,-10,38.0800,30,350.6600,10
64,"Berger Paints India Ltd",BERGEPAINT,"Paints/Varnish",82.06,STRONG BUY,2.67,18.2962,95,14.4721,80,14.9355,80,21.1090,95,13.4666,80,5.2158,60,0.0062,95,68.9362,100,73.8153,90,71.9947,90,NA,EXCLUDED,NA,EXCLUDED,-5.2700,-10,-10.7300,-10,-16.5800,-10,24.0900,20,-52.9000,10
7142,"Paushak Ltd",PAUSHAKLTD,"Chemicals",81.92,STRONG BUY,-25.75,15.5081,95,14.5102,80,3.5719,50,14.3537,75,7.7925,60,2.4465,45,-1.6796,100,63.1630,100,60.9814,100,36.2101,100,NA,EXCLUDED,NA,EXCLUDED,-3.2700,20,-4.7600,20,-9.4400,-10,36.4600,30,450.5500,30
71647,"Sheetal Cool Products Ltd",SCPL,"FMCG",81.88,STRONG BUY,2.59,14.2148,80,16.0639,95,151.4488,100,21.0740,95,43.3792,100,-10.6133,EXCLUDED,1.6970,75,69.6179,100,71.2384,90,85.0019,85,NA,EXCLUDED,NA,EXCLUDED,-4.0500,20,-7.1000,-10,-18.8000,-10,40.9100,70,1757.8300,30
65893,"Fine Organic Industries Ltd",FINEORG,"Chemicals",81.76,STRONG BUY,4.99,21.1243,100,38.2889,100,44.7038,100,28.6090,100,19.2457,95,25.3376,100,-2.3695,100,108.0812,80,86.1945,85,104.7084,80,NA,EXCLUDED,NA,EXCLUDED,-5.3400,-10,-6.7100,-10,-5.6400,-10,32.4000,30,368.8500,30
18341,"Sona BLW Precision Forgings Ltd",SONACOMS,"Auto Ancillaries",81.40,STRONG BUY,-8.83,26.8549,100,26.9606,100,32.1869,100,18.8871,85,37.1093,100,9.9035,70,-0.0119,100,87.9978,85,92.4778,85,84.3765,85,NA,EXCLUDED,NA,EXCLUDED,-6.1300,-10,-9.7400,-10,-9.8400,-10,27.6100,20,-3189.4500,30
7734,"KCD Industries India Ltd",540696,"Realty",81.37,STRONG BUY,-44.64,97.2581,100,121.3183,100,NA,EXCLUDED,14.5733,75,NA,EXCLUDED,4808.4222,100,-0.0119,100,71.1954,90,67.5568,100,74.4058,90,NA,EXCLUDED,NA,EXCLUDED,5.9800,100,13.5500,100,5.4200,100,58.8500,100,715.3900,0
7143,"Vasudhagama Enterprises Ltd",539291,"Miscellaneous",81.25,STRONG BUY,-80.22,151.7278,100,31.2691,100,28.3127,100,3.8729,35,-20.1542,10,NA,EXCLUDED,0.8078,95,30.4097,100,60.9407,100,37.4354,100,NA,EXCLUDED,NA,EXCLUDED,3.3100,70,-10.1000,-10,-39.0000,-10,51.4900,100,865.7800,30
3274,"Suraj Industries Ltd",526211,"Alcoholic Beverages",80.99,STRONG BUY,-3.46,93.6643,100,289.1526,100,414.2216,100,46.5326,100,100.5923,100,-4.4084,EXCLUDED,2.3122,65,531.5563,50,72.6564,90,97.2225,80,NA,EXCLUDED,NA,EXCLUDED,12.4400,100,14.4700,100,1.3700,70,59.9100,100,1611.0400,100
26214,"Wardwizard Innovations & Mobility Ltd",538970,"Automobile",80.97,STRONG BUY,-82.31,100.5603,100,118.6362,100,103.0680,100,13.1787,75,NA,EXCLUDED,1.3941,45,2.4512,65,40.5105,100,45.6442,100,37.8061,100,NA,EXCLUDED,NA,EXCLUDED,-6.2400,-10,-11.2200,-10,-23.2900,-10,36.0000,30,1376.4700,0
76764,"Veerkrupa Jewellers Ltd",543545,"Diamond, Gems and Jewellery",80.97,STRONG BUY,-56.83,44.0650,100,99.2539,100,205.5334,100,0.6770,35,-70.2110,10,29.6829,100,2.9854,55,59.0376,100,67.4260,100,56.9566,100,NA,EXCLUDED,NA,EXCLUDED,-7.0300,-10,-11.9900,-10,-22.9900,-10,36.9800,30,216.6500,0
40942,"Avenue Supermarts Ltd",DMART,"Retail",80.84,STRONG BUY,12.43,27.4880,100,30.0294,100,36.8308,100,13.4149,75,-3.4314,30,20.2247,95,-0.1175,100,69.4186,100,75.9778,90,69.3062,100,NA,EXCLUDED,NA,EXCLUDED,-4.8800,20,-11.2000,-10,-19.6200,-10,29.4000,20,-63.2100,10
4469,"Onward Technologies Ltd",ONWARDTEC,"IT - Software",80.63,STRONG BUY,-20.4,25.2897,100,22.4846,100,48.4283,100,13.0090,75,10.9626,70,27.7617,100,0.0849,95,92.4112,85,103.2679,80,108.9795,80,NA,EXCLUDED,NA,EXCLUDED,1.4300,70,-2.9200,20,-17.4200,-10,51.5700,100,1117.4600,30
13369,"Mahanagar Gas Ltd",MGL,"Gas Distribution",80.60,STRONG BUY,-3.71,42.1920,100,25.7637,100,27.4059,100,21.2191,95,-0.8224,30,17.0955,90,-0.7799,100,73.6193,90,93.0700,85,80.6375,85,NA,EXCLUDED,NA,EXCLUDED,-1.3500,20,-8.9500,-10,-15.5800,-10,43.6400,70,156.4900,30
3219,"Pidilite Industries Ltd",PIDILITIND,"Chemicals",80.53,STRONG BUY,0.95,21.6829,100,18.7570,95,17.4036,95,20.3636,95,8.7480,70,11.2052,80,-0.7116,100,91.3691,85,101.9412,80,90.1842,85,NA,EXCLUDED,NA,EXCLUDED,-3.4300,20,-4.3300,20,-2.2200,20,35.6000,30,30.4500,30
70299,"Happiest Minds Technologies Ltd",HAPPSTMNDS,"IT - Software",80.53,STRONG BUY,-48.68,26.4025,100,23.3659,100,9.5371,70,27.6465,100,-12.5041,10,1.7365,45,-5.0690,100,80.6231,85,57.4921,100,66.6432,100,NA,EXCLUDED,NA,EXCLUDED,-4.4800,20,-6.7800,-10,-11.9600,-10,30.5100,30,-545.7200,30
75453,"Niks Technology Ltd",543282,"IT - Software",80.51,STRONG BUY,-15.59,153.3379,100,40.4607,100,37.4323,100,13.9303,75,NA,EXCLUDED,-82.4752,EXCLUDED,-1.7432,100,76.3369,90,76.9969,90,107.8149,80,NA,EXCLUDED,NA,EXCLUDED,0.0300,30,9.2700,100,64.7500,100,51.6200,100,138.8000,30
