stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
28590,"Shankara Building Products Ltd",SHANKARA,"Retail",Small Cap,87.20,STRONG BUY,85.25,92.50,0.00,61.50,170.05,111.1,-34.67,-57.55
34,"Asian Paints Ltd",ASIANPAINT,"Paints/Varnish",Large Cap,86.98,STRONG BUY,87.50,100.00,0.00,1.00,2284.15,2415.7,5.76,-17.12
7772,"Satia Industries Ltd",SATIA,"Paper",Small Cap,86.26,STRONG BUY,86.25,100.00,0.00,-2.00,93.85,64.82,-30.93,-53.81
512,"Shri Dinesh Mills Ltd",SHRIDINESH,"Textiles",Small Cap,85.19,STRONG BUY,79.00,100.00,0.00,16.50,403.4,237.05,-41.24,-64.12
70987,"Riddhi Corporate Services Ltd",540590,"IT - Software",Small Cap,84.64,STRONG BUY,72.25,100.00,0.00,39.00,68.84,65,-5.58,-28.46
20703,"Indraprastha Gas Ltd",IGL,"Gas Distribution",Small Cap,84.57,STRONG BUY,83.00,92.00,0.00,43.50,198.23,168.9,-14.8,-37.68
44544,"Vistar Amar Ltd",538565,"FMCG",Small Cap,84.46,STRONG BUY,88.25,92.50,0.00,16.50,130.6,195.25,49.5,26.62
70386,"Starlineps Enterprises Ltd",540492,"Diamond, Gems and Jewellery",Small Cap,84.13,STRONG BUY,79.50,100.00,0.00,2.00,6.58,10.9,65.65,42.77
28695,"PNC Infratech Ltd",PNCINFRA,"Infrastructure Developers & Operators",Small Cap,83.89,STRONG BUY,87.00,93.00,0.00,12.00,308.25,212.3,-31.13,-54.01
30486,"Varroc Engineering Ltd",VARROC,"Auto Ancillaries",Small Cap,83.77,STRONG BUY,95.75,77.00,0.00,76.00,598.45,551.45,-7.85,-30.73
76651,"Goel Food Products Ltd",543538,"Hotels & Restaurants",Small Cap,83.59,STRONG BUY,82.75,97.00,0.00,1.00,20.02,12.4,-38.06,-60.94
622,"Automotive Axles Ltd",AUTOAXLES,"Auto Ancillaries",Small Cap,83.35,STRONG BUY,84.75,92.50,0.00,18.50,1795.7,2049.95,14.16,-8.72
73124,"Deep Polymers Ltd",541778,"Chemicals",Small Cap,83.18,STRONG BUY,92.75,88.50,0.00,8.00,66.68,33.75,-49.39,-72.27
67917,"TCI Express Ltd",TCIEXP,"Logistics",Small Cap,82.91,STRONG BUY,74.75,100.00,0.00,8.00,830.3,541.05,-34.84,-57.72
1149,"Jamna Auto Industries Ltd",JAMNAAUTO,"Auto Ancillaries",Small Cap,82.82,STRONG BUY,82.25,95.00,0.00,7.00,96.1,143.75,49.58,26.7
