stock_id,stock_name,symbol,sector,overall_score,verdict,return_pct,Revenue Growth_raw,Revenue Growth_score,EBITDA Growth_raw,EBITDA Growth_score,Earnings (PBT-OI)_raw,Earnings (PBT-OI)_score,ROE_raw,ROE_score,OCF/EBITDA CAGR_raw,OCF/EBITDA CAGR_score,Gross Block_raw,Gross Block_score,Debt/EBITDA_raw,Debt/EBITDA_score,PE vs 5Y_raw,PE vs 5Y_score,PB vs 5Y_raw,PB vs 5Y_score,EV vs 5Y_raw,EV vs 5Y_score,Revenue Multiplier_raw,Revenue Multiplier_score,EBITDA Multiplier_raw,EBITDA Multiplier_score,20-DMA_raw,20-DMA_score,50-DMA_raw,50-DMA_score,200-DMA_raw,200-DMA_score,RSI_raw,RSI_score,VPT_raw,VPT_score
21188,"Divis Laboratories Ltd",DIVISLAB,"Pharmaceuticals",82.69,STRONG BUY,92.26,31.0435,100,38.3083,100,38.9781,100,24.6070,95,-29.0677,10,16.8142,90,-1.1053,100,58.6683,100,63.7964,100,59.3385,100,0.6840,50,1.2750,80,-2.2800,20,-7.6200,-10,-18.5700,-10,39.3400,30,-39.4800,30
28074,"Bajaj Auto Ltd",BAJAJ-AUTO,"Automobile",78.17,BUY,111.76,18.3903,95,4.2376,60,13.5881,80,18.7117,85,29.6307,100,10.5579,80,-0.8440,100,95.1234,80,97.0053,80,99.1423,80,0.9660,65,5.7960,100,-1.2700,20,-0.4600,30,0.3300,30,45.5900,70,458.6800,0
502,"Vedanta Ltd",VEDL,"Mining & Mineral products",76.07,BUY,36.47,48.0202,100,32.7264,100,314.9116,100,18.0050,85,56.5419,100,2.8855,45,1.0716,80,73.7223,90,97.4882,80,84.0711,85,-0.0070,10,2.7330,100,-3.1200,20,-5.4600,-10,-4.3500,20,41.8300,70,760.9500,10
40279,"Indus Towers Ltd",INDUSTOWER,"Telecom Equipment & Infra Services",75.40,BUY,93.62,90.7434,100,91.9790,100,127.5943,100,27.2228,100,-36.5204,10,0.1388,45,1.1138,80,59.1255,100,61.1562,100,58.8119,100,0.0500,10,0.6130,50,-0.2400,30,-2.8900,20,-13.5500,-10,48.9800,70,599.4200,30
2307,"Hindustan Zinc Ltd",HINDZINC,"Non Ferrous Metals",74.36,BUY,25.36,25.3927,100,29.2862,100,47.1730,100,26.8085,100,-7.1051,20,3.4983,45,-1.2695,100,94.7141,85,101.0376,80,93.3209,85,0.6250,50,1.0510,65,-2.6900,20,-3.9300,20,0.4000,30,40.0400,70,1135.6100,30
74646,"Hitachi Energy India Ltd",POWERINDIA,"Capital Goods - Electrical Equipment",71.02,BUY,237.85,43.9659,100,40.1648,100,78.0014,100,15.2014,85,NA,EXCLUDED,-0.5017,EXCLUDED,0.2755,95,110.5333,75,153.1014,60,144.6081,65,0.6280,50,2.8570,100,4.8500,70,5.2700,100,5.4200,100,67.4300,70,940.7400,100
614,"Wipro Ltd",WIPRO,"IT - Software",69.86,BUY,42.22,22.0154,100,18.5680,95,2.4869,50,23.3041,95,-52.0210,10,10.2853,80,-1.1782,100,70.0548,90,71.4892,90,69.0771,100,0.0200,10,0.6100,50,-1.5800,20,-1.9400,20,-8.2700,-10,41.4100,70,1167.8000,30
6068,"Oil & Natural Gas Corpn Ltd",ONGC,"Crude Oil & Natural Gas",69.71,BUY,46.03,55.3036,100,81.5494,100,272.8223,100,11.8740,65,-1.8405,30,2.2576,45,0.2624,95,66.5442,100,109.6744,80,83.2341,85,0.0060,10,-0.1510,10,1.4200,70,3.6200,70,7.1600,100,58.4800,100,736.4700,30
5400,"Tata Consultancy Services Ltd",TCS,"IT - Software",69.28,BUY,4.22,18.7206,95,17.5476,95,18.9708,95,45.8253,100,-9.1303,20,2.8956,45,-0.7927,100,86.7933,85,95.0759,80,88.2315,85,0.3630,30,0.4990,40,-1.9100,20,-1.4100,20,0.0800,30,42.7700,70,47.0300,10
18105,"LTIMindtree Ltd",LTM,"IT - Software",69.01,BUY,-0.94,118.2420,100,114.3453,100,99.2755,100,31.6752,100,-31.3649,10,147.4706,100,-1.2808,100,82.4664,85,86.6122,85,82.9393,85,0.0510,10,-0.0150,10,-0.0900,30,1.9900,70,0.1300,30,52.2000,100,1139.5600,30
12019,"Coal India Ltd",COALINDIA,"Mining & Mineral products",68.68,BUY,65.66,45.0525,100,47.8728,100,NA,EXCLUDED,56.6357,100,188.8713,100,20.8748,95,-0.1050,100,117.4203,75,146.2699,60,116.7750,75,9.9660,100,-0.2810,10,2.3700,70,1.4600,70,4.3000,70,58.7300,100,577.2300,30
21960,"Godrej Consumer Products Ltd",GODREJCP,"FMCG",68.43,BUY,8.58,11.1040,70,4.6714,60,10.7306,70,20.0356,95,-33.1611,10,-0.0789,EXCLUDED,-0.7730,100,114.1905,75,113.0955,75,122.2552,75,0.6990,50,1.4650,90,0.0400,30,0.9900,30,5.0700,100,50.6700,100,1058.2000,30
5656,"HCL Technologies Ltd",HCLTECH,"IT - Software",68.37,BUY,40.76,13.3195,80,3.8442,50,8.2394,70,22.6602,95,-35.3065,10,-6.6061,EXCLUDED,-0.7472,100,92.6736,85,104.9002,80,101.9435,80,0.2820,20,0.9530,65,1.0600,70,1.9100,70,5.5900,100,54.6200,100,177.9900,100
365,"Mahindra & Mahindra Ltd",M&M,"Automobile",68.24,BUY,103.78,30.5729,100,11.3309,70,270.8642,100,8.0654,55,-34.6790,10,21.6254,95,-0.8526,100,92.6302,85,148.7158,60,153.0932,60,0.4080,40,1.7690,100,-3.0800,20,-3.2300,20,4.7000,70,38.3500,30,748.7800,30
252,"Hindalco Industries Ltd",HINDALCO,"Non Ferrous Metals",68.19,BUY,52.16,57.2928,100,147.3229,100,757.3593,100,6.2620,45,-62.1540,10,-0.6276,EXCLUDED,0.4627,95,47.2584,100,91.8644,85,59.5338,100,0.1660,10,0.6340,50,-2.8900,20,-6.0200,-10,-5.2400,-10,40.3800,70,905.6000,30
348,"Larsen & Toubro Ltd",LT,"Infrastructure Developers & Operators",68.00,BUY,47.02,15.4469,95,8.5553,70,33.8901,100,10.9468,65,-42.2015,10,-3.0658,EXCLUDED,-0.8299,100,171.6861,50,128.6521,70,127.9304,70,1.1800,70,4.2390,100,-0.1800,30,0.3700,30,8.4400,100,49.0000,70,568.7700,30
