sector,stock_count,avg_score,avg_return_pct,winsorized_avg,median_return_pct,correlation
"Automobile",6,71.94,96.42,87.23,75.67,0.12
"IT - Software",6,62.92,33.65,33.65,26.56,-0.051
"FMCG",5,69.83,94.92,61.34,32.01,-0.41
"Power Generation & Distribution",4,58.20,118.31,112.75,136.19,0.378
"Finance",3,70.88,143.11,129.45,126.59,0.366
"Pharmaceuticals",3,61.66,121.51,121.51,136.10,0.76
"Insurance",2,64.80,20.73,20.73,20.73,N/A
"Cement",2,69.13,60.31,60.31,60.31,N/A
"Refineries",2,60.07,10.91,10.91,10.91,N/A
"Non Ferrous Metals",2,60.16,49.70,49.70,49.70,N/A
"Steel",2,48.89,99.29,99.29,99.29,N/A
"Capital Goods - Electrical Equipment",2,49.95,181.63,170.63,181.63,N/A
"Tobacco Products",1,87.83,98.88,98.88,98.88,N/A
"Mining & Mineral products",1,87.49,138.44,138.44,138.44,N/A
"Chemicals",1,75.56,50.62,50.62,50.62,N/A
"Aerospace & Defence",1,74.07,455.13,200.00,455.13,N/A
"Retail",1,72.57,7.46,7.46,7.46,N/A
"Diamond, Gems and Jewellery",1,71.21,108.68,108.68,108.68,N/A
"Telecom Equipment & Infra Services",1,71.20,25.43,25.43,25.43,N/A
"Capital Goods-Non Electrical Equipment",1,71.16,214.41,200.00,214.41,N/A
"Paints/Varnish",1,68.79,-9.26,-9.26,-9.26,N/A
"Crude Oil & Natural Gas",1,68.75,97.59,97.59,97.59,N/A
"Auto Ancillaries",1,66.62,-31.90,-31.90,-31.90,N/A
"Healthcare",1,61.18,97.99,97.99,97.99,N/A
"Textiles",1,46.71,75.69,75.69,75.69,N/A
"Trading",1,45.53,128.98,128.98,128.98,N/A
