stock_id,stock_name,symbol,sector,mcap_type,overall_score,verdict,financial_score,valuation_score,qm_score,technical_score,start_price,end_price,return_pct,outperformance_vs_avg
301,"ITC Ltd",ITC,"Tobacco Products",Large Cap,87.83,STRONG BUY,72.50,100.00,100.00,44.00,198.61,395,98.88,7.83
12019,"Coal India Ltd",COALINDIA,"Mining & Mineral products",Large Cap,87.49,STRONG BUY,59.00,100.00,100.00,97.00,154.9,369.35,138.44,47.39
151,"Eicher Motors Ltd",EICHERMOT,"Automobile",Large Cap,80.65,STRONG BUY,83.50,75.00,100.00,55.00,2599.05,4773.6,83.67,-7.38
1745,"Shriram Finance Ltd",SHRIRAMFIN,"Finance",Large Cap,78.91,BUY,66.25,80.00,100.00,72.00,272.43,617.3,126.59,35.54
12001,"NTPC Ltd",NTPC,"Power Generation & Distribution",Large Cap,78.88,BUY,53.75,85.00,100.00,93.00,112.7,311.45,176.35,85.3
237,"Hero MotoCorp Ltd",HEROMOTOCO,"Automobile",Large Cap,78.22,BUY,72.50,75.00,100.00,67.50,3424.35,3681.1,7.5,-83.55
22045,"SBI Life Insurance Company Ltd",SBILIFE,"Insurance",Large Cap,77.70,BUY,89.75,70.00,0.00,75.50,906.45,1430.5,57.81,-33.24
3219,"Pidilite Industries Ltd",PIDILITIND,"Chemicals",Large Cap,75.56,BUY,87.25,60.00,95.00,75.50,882.3,1328.95,50.62,-40.43
175,"Nestle India Ltd",NESTLEIND,"FMCG",Large Cap,75.48,BUY,61.00,100.00,55.00,32.50,834.96,1094.83,31.12,-59.93
8029,"TVS Motor Company Ltd",TVSMOTOR,"Automobile",Large Cap,75.13,BUY,74.75,65.00,100.00,78.00,626.7,2225.5,255.11,164.06
12030,"Hindustan Aeronautics Ltd",HAL,"Aerospace & Defence",Large Cap,74.07,BUY,63.00,70.00,100.00,81.00,556.3,3088.2,455.13,364.08
40942,"Avenue Supermarts Ltd",DMART,"Retail",Large Cap,72.57,BUY,88.25,50.00,100.00,80.00,3167.7,3403.95,7.46,-83.59
