Label,Value,Decimals,UnitId,Description,Key
ScripCode,500325,0,,Scrip code,ScripCode
Symbol,RELIANCE,0,,Symbol,Symbol
MSEISymbol,NA,0,,MSEI symbol,MSEISymbolMseiSymbol
ISIN,INE002A01018,0,,ISIN,ISINIsin
NameOfTheCompany,RELIANCE INDUSTRIES LIMITED,0,,Name of the company,NameOfTheCompany
TypeOfCompany,Main Board,0,,Type of company,TypeOfCompany
ClassOfSecurity,Equity,0,,Class of security,ClassOfSecurity
DateOfStartOfFinancialYear,2024-04-01,0,,Date of start of financial year,DateOfStartOfFinancialYear
DateOfEndOfFinancialYear,2025-03-31,0,,Date of end of financial year,DateOfEndOfFinancialYear
DateOfBoardMeetingWhenFinancialResultsWereApproved,2025-04-25,0,,Date of board meeting when financial results were approved,DateOfBoardMeetingWhenFinancialResultsWereApproved
DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange,2025-04-18,0,,Date on which prior intimation of the meeting for considering financial results was informed to the exchange,DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange
DescriptionOfPresentationCurrency,INR,0,,Description of presentation currency,DescriptionOfPresentationCurrency
LevelOfRounding,Crores,0,,Level of rounding,LevelOfRounding
TypeOfReportingPeriod,Quarterly,0,,Type of reporting period,TypeOfReportingPeriod
ReportingQuarter,Fourth quarter,0,,Reporting quarter,ReportingQuarter
IsCompanyReportingMultisegmentOrSingleSegment,Multi segment,0,,Is company reporting multi segment or single segment,IsCompanyReportingMultisegmentOrSingleSegmentIsCompanyReportingMultiSegmentOrSingleSegment
DateOfStartOfBoardMeeting,2025-04-25,0,,Date of start of board meeting,DateOfStartOfBoardMeeting
StartTimeOfBoardMeeting,17:00:00,0,,Start time of board meeting,StartTimeOfBoardMeeting
DateOfEndOfBoardMeeting,2025-04-25,0,,Date of end of board meeting,DateOfEndOfBoardMeeting
EndTimeOfBoardMeeting,19:25:00,0,,End time of board meeting,EndTimeOfBoardMeeting
WhetherCashFlowStatementIsApplicableOnCompany,true,0,,Whether cash flow statement is applicable on company,WhetherCashFlowStatementIsApplicableOnCompany
TypeOfCashFlowStatement,Cash Flow Indirect,0,,Type of cash flow statement,TypeOfCashFlowStatement
DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification,Declaration of unmodified opinion,0,,Declaration of unmodified opinion or statement on impact of audit qualification,DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification
DateOfStartOfReportingPeriod,2024-04-01,0,,Date of start of reporting period,DateOfStartOfReportingPeriod
DateOfEndOfReportingPeriod,2025-03-31,0,,Date of end of reporting period,DateOfEndOfReportingPeriod
WhetherResultsAreAuditedOrUnaudited,Audited,0,,Whether results are audited or unaudited,WhetherResultsAreAuditedOrUnaudited
NatureOfReportStandaloneConsolidated,Consolidated,0,,Nature of report standalone consolidated,NatureOfReportStandaloneConsolidated
RevenueFromOperations,9801360000000,-7,INR,Revenue from operations,RevenueFromOperations
OtherIncome,179780000000,-7,INR,Other income,OtherIncome
Income,9981140000000,-7,INR,Total income,IncomeTotalIncome
CostOfMaterialsConsumed,4221270000000,-7,INR,Cost of materials consumed,CostOfMaterialsConsumed
PurchasesOfStockInTrade,2226860000000,-7,INR,Purchases of stock-in-trade,PurchasesOfStockInTrade
ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,-151240000000,-7,INR,Changes in inventories of finished goods work-in-progress and stock-in-trade,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade
EmployeeBenefitExpense,285590000000,-7,INR,Employee benefit expense,EmployeeBenefitExpense
FinanceCosts,242690000000,-7,INR,Finance costs,FinanceCosts
DepreciationDepletionAndAmortisationExpense,531360000000,-7,INR,Depreciation depletion and amortisation expense,DepreciationDepletionAndAmortisationExpense
OtherExpenses,1564440000000,-7,INR,Other expenses Sum,OtherExpensesOtherExpensesSum
Expenses,8920970000000,-7,INR,Total Expenses,ExpensesTotalExpenses
ProfitBeforeExceptionalItemsAndTax,1060170000000,-7,INR,Total profit before exceptional items and tax,ProfitBeforeExceptionalItemsAndTaxTotalProfitBeforeExceptionalItemsAndTax
ExceptionalItemsBeforeTax,0,-7,INR,Exceptional items before tax,ExceptionalItemsBeforeTax
ProfitBeforeTax,1060170000000,-7,INR,Total profit before tax,ProfitBeforeTaxTotalProfitBeforeTax
CurrentTax,127580000000,-7,INR,Current tax,CurrentTax
DeferredTax,124720000000,-7,INR,Deferred tax,DeferredTax
TaxExpense,252300000000,-7,INR,Total tax expense,TaxExpenseTotalTaxExpense
NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,0,-7,INR,Net movement in regulatory deferral account balances related to profit or loss and the related deferred tax movement,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement
ProfitLossForPeriodFromContinuingOperations,807870000000,-7,INR,Net profit (loss) for period from continuing operations,ProfitLossForPeriodFromContinuingOperationsNetProfitLossForPeriodFromContinuingOperations
ProfitLossFromDiscontinuedOperationsBeforeTax,0,-7,INR,Profit (loss) from discontinued operations before tax,ProfitLossFromDiscontinuedOperationsBeforeTax
TaxExpenseOfDiscontinuedOperations,0,-7,INR,Tax expense of discontinued operations,TaxExpenseOfDiscontinuedOperations
ProfitLossFromDiscontinuedOperationsAfterTax,0,-7,INR,Net profit (loss) from discontinued operations after tax,ProfitLossFromDiscontinuedOperationsAfterTaxNetProfitLossFromDiscontinuedOperationsAfterTax
ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,5220000000,-7,INR,Share of profit (loss) of associates and joint ventures accounted for using equity method,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
ProfitLossForPeriod,813090000000,-7,INR,Total profit (loss) for period,ProfitLossForPeriodTotalProfitLossForPeriod
OtherComprehensiveIncomeNetOfTaxes,-24360000000,-7,INR,Other comprehensive income net of taxes,OtherComprehensiveIncomeNetOfTaxes
ComprehensiveIncomeForThePeriod,788730000000,-7,INR,Total comprehensive income for the period,ComprehensiveIncomeForThePeriodTotalComprehensiveIncomeForThePeriod
ProfitOrLossAttributableToOwnersOfParent,696480000000,-7,INR,Profit or loss attributable to owners of parent,ProfitOrLossAttributableToOwnersOfParent
ProfitOrLossAttributableToNonControllingInterests,116610000000,-7,INR,Profit or loss attributable to non-controlling interests,ProfitOrLossAttributableToNonControllingInterests
ComprehensiveIncomeForThePeriodAttributableToOwnersOfParent,-24330000000,-7,INR,Total comprehensive income for the period attributable to owners of parent,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentTotalComprehensiveIncomeForThePeriodAttributableToOwnersOfParent
ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterests,-30000000,-7,INR,Total comprehensive income for the period attributable to owners of parent non-controlling interests,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterestsTotalComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterests
PaidUpValueOfEquityShareCapital,135320000000,-7,INR,Paid-up equity share capital,PaidUpValueOfEquityShareCapitalPaidUpEquityShareCapital
FaceValueOfEquityShareCapital,10,0,INRPerShare,Face value of equity share capital,FaceValueOfEquityShareCapital
ReserveExcludingRevaluationReserves,8296680000000,-7,INR,Reserve excluding revaluation reserves,ReserveExcludingRevaluationReserves
BasicEarningsLossPerShareFromContinuingOperations,51.47,0,INRPerShare,Basic earnings (loss) per share from continuing operations,BasicEarningsLossPerShareFromContinuingOperations
DilutedEarningsLossPerShareFromContinuingOperations,51.47,0,INRPerShare,Diluted earnings (loss) per share from continuing operations,DilutedEarningsLossPerShareFromContinuingOperations
BasicEarningsLossPerShareFromDiscontinuedOperations,0,0,INRPerShare,Basic earnings (loss) per share from discontinued operations,BasicEarningsLossPerShareFromDiscontinuedOperations
DilutedEarningsLossPerShareFromDiscontinuedOperations,0,0,INRPerShare,Diluted earnings (loss) per share from discontinued operations,DilutedEarningsLossPerShareFromDiscontinuedOperations
BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations,51.47,0,INRPerShare,Total basic earnings (loss) per share from continuing and discontinued operations,BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperationsTotalBasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations
DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations,51.47,0,INRPerShare,Total diluted earnings (loss) per share from continuing and discontinued operations,DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperationsTotalDilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations
DebtEquityRatio,0.0041,0,pure,Debt equity ratio,DebtEquityRatio
DebtServiceCoverageRatio,0.0233,0,pure,Debt service coverage ratio,DebtServiceCoverageRatio
InterestServiceCoverageRatio,0.0537,0,pure,Interest service coverage ratio,InterestServiceCoverageRatio
OtherExpenses,154430000000,-7,INR,Excise Duty,OtherExpensesExciseDuty
OtherExpenses,1410010000000,-7,INR,Other Expenses,OtherExpenses
SegmentRevenue,6269210000000,-7,INR,Oil to Chemicals (O2C),SegmentRevenueOilToChemicalsO2c
SegmentRevenue,252110000000,-7,INR,Oil and Gas,SegmentRevenueOilAndGas
SegmentRevenue,3309430000000,-7,INR,Retail,SegmentRevenueRetail
SegmentRevenue,1541190000000,-7,INR,Digital Services,SegmentRevenueDigitalServices
SegmentRevenue,558590000000,-7,INR,Others,SegmentRevenueOthers
SegmentRevenue,11930530000000,-7,INR,Segment revenue,SegmentRevenue
InterSegmentRevenue,1218790000000,-7,INR,Inter segment revenue,InterSegmentRevenue
SegmentRevenueFromOperations,10711740000000,-7,INR,Revenue from operations,SegmentRevenueFromOperationsRevenueFromOperations
SegmentProfitLossBeforeTaxAndFinanceCosts,472570000000,-7,INR,Oil to Chemicals (O2C),SegmentProfitLossBeforeTaxAndFinanceCostsOilToChemicalsO2c
SegmentProfitLossBeforeTaxAndFinanceCosts,158400000000,-7,INR,Oil and Gas,SegmentProfitLossBeforeTaxAndFinanceCostsOilAndGas
SegmentProfitLossBeforeTaxAndFinanceCosts,190700000000,-7,INR,Retail,SegmentProfitLossBeforeTaxAndFinanceCostsRetail
SegmentProfitLossBeforeTaxAndFinanceCosts,397170000000,-7,INR,Digital Services,SegmentProfitLossBeforeTaxAndFinanceCostsDigitalServices
SegmentProfitLossBeforeTaxAndFinanceCosts,5300000000,-7,INR,Others,SegmentProfitLossBeforeTaxAndFinanceCostsOthers
SegmentProfitLossBeforeTaxAndFinanceCosts,1224140000000,-7,INR,Segment profit (loss) before tax and finance costs,SegmentProfitLossBeforeTaxAndFinanceCosts
SegmentFinanceCosts,242690000000,-7,INR,Segment finance costs,SegmentFinanceCosts
OtherUnallocableExpenditureNetOffUnAllocableIncome,-78720000000,-7,INR,Other un-allocable expenditure net off un-allocable income,OtherUnallocableExpenditureNetOffUnAllocableIncomeOtherUnAllocableExpenditureNetOffUnAllocableIncome
SegmentProfitBeforeTax,1060170000000,-7,INR,Profit before tax,SegmentProfitBeforeTaxProfitBeforeTax
AmountOfItemThatWillNotBeReclassifiedToProfitAndLoss,-29040000000,-7,INR,Items that will not be reclassified to Profit or Loss,AmountOfItemThatWillNotBeReclassifiedToProfitAndLossItemsThatWillNotBeReclassifiedToProfitOrLoss
AmountOfItemThatWillNotBeReclassifiedToProfitAndLoss,-29040000000,-7,INR,Amount of item that will not be reclassified to profit and loss,AmountOfItemThatWillNotBeReclassifiedToProfitAndLoss
AmountOfItemThatWillBeReclassifiedToProfitAndLoss,-2140000000,-7,INR,Items that will be reclassified to Profit or Loss,AmountOfItemThatWillBeReclassifiedToProfitAndLossItemsThatWillBeReclassifiedToProfitOrLoss
AmountOfItemThatWillBeReclassifiedToProfitAndLoss,-2140000000,-7,INR,Amount of item that will be reclassified to profit and loss,AmountOfItemThatWillBeReclassifiedToProfitAndLoss
XbrlUrl,https://www.bseindia.com/XBRLFILES/IFIndasDuplicateUploadDocument/Integrated_Finance_Ind_As_500325_254202521175_IFIndAs.xml,0,,XbrlUrl,
