Label,Value,Decimals,UnitId,Description,Key
ScripCode,500325,0,,Scrip code,ScripCode
Symbol,RELIANCE,0,,Symbol,Symbol
MSEISymbol,NA,0,,MSEI symbol,MSEISymbolMseiSymbol
ISIN,INE002A01018,0,,ISIN,ISINIsin
NameOfTheCompany,RELIANCE INDUSTRIES LIMITED,0,,Name of the company,NameOfTheCompany
ClassOfSecurity,Equity,0,,Class of security,ClassOfSecurity
DateOfStartOfFinancialYear,2024-04-01,0,,Date of start of financial year,DateOfStartOfFinancialYear
DateOfEndOfFinancialYear,2025-03-31,0,,Date of end of financial year,DateOfEndOfFinancialYear
DateOfBoardMeetingWhenFinancialResultsWereApproved,2025-01-16,0,,Date of board meeting when financial results were approved,DateOfBoardMeetingWhenFinancialResultsWereApproved
DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange,2025-01-09,0,,Date on which prior intimation of the meeting for considering financial results was informed to the exchange,DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange
DescriptionOfPresentationCurrency,INR,0,,Description of presentation currency,DescriptionOfPresentationCurrency
LevelOfRoundingUsedInFinancialStatements,Crores,0,,Level of rounding used in financial statements,LevelOfRoundingUsedInFinancialStatements
ReportingQuarter,Third quarter,0,,Reporting quarter,ReportingQuarter
IsCompanyReportingMultisegmentOrSingleSegment,Multi segment,0,,Is company reporting multisegment or single segment,IsCompanyReportingMultisegmentOrSingleSegment
DateOfStartOfBoardMeeting,2025-01-16,0,,Date of start of board meeting,DateOfStartOfBoardMeeting
StartTimeOfBoardMeeting,17:15:00,0,,Start time of board meeting,StartTimeOfBoardMeeting
DateOfEndOfBoardMeeting,2025-01-16,0,,Date of end of board meeting,DateOfEndOfBoardMeeting
EndTimeOfBoardMeeting,19:15:00,0,,End time of board meeting,EndTimeOfBoardMeeting
DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification,Not applicable,0,,Declaration of unmodified opinion or statement on impact of audit qualification,DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification
DateOfStartOfReportingPeriod,2024-10-01,0,,Date of start of reporting period,DateOfStartOfReportingPeriod
DateOfEndOfReportingPeriod,2024-12-31,0,,Date of end of reporting period,DateOfEndOfReportingPeriod
WhetherResultsAreAuditedOrUnaudited,Unaudited,0,,Whether results are audited or unaudited,WhetherResultsAreAuditedOrUnaudited
NatureOfReportStandaloneConsolidated,Consolidated,0,,Nature of report standalone consolidated,NatureOfReportStandaloneConsolidated
RevenueFromOperations,2438650000000,-7,INR,Revenue from operations,RevenueFromOperations
OtherIncome,42140000000,-7,INR,Other income,OtherIncome
Income,2480790000000,-7,INR,Total income,IncomeTotalIncome
CostOfMaterialsConsumed,985140000000,-7,INR,Cost of materials consumed,CostOfMaterialsConsumed
PurchasesOfStockInTrade,594590000000,-7,INR,Purchases of stock-in-trade,PurchasesOfStockInTrade
ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,-50140000000,-7,INR,Changes in inventories of finished goods'| work-in-progress and stock-in-trade,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade
EmployeeBenefitExpense,71550000000,-7,INR,Employee benefit expense,EmployeeBenefitExpense
FinanceCosts,61790000000,-7,INR,Finance costs,FinanceCosts
DepreciationDepletionAndAmortisationExpense,131810000000,-7,INR,Depreciation'| depletion and amortisation expense,DepreciationDepletionAndAmortisationExpense
OtherExpenses,399620000000,-7,INR,Other expenses Sum,OtherExpensesOtherExpensesSum
Expenses,2194360000000,-7,INR,Total Expenses,ExpensesTotalExpenses
ProfitBeforeExceptionalItemsAndTax,286430000000,-7,INR,Total profit before exceptional items and tax,ProfitBeforeExceptionalItemsAndTaxTotalProfitBeforeExceptionalItemsAndTax
ExceptionalItemsBeforeTax,0,-7,INR,Exceptional items before tax,ExceptionalItemsBeforeTax
ProfitBeforeTax,286430000000,-7,INR,Total profit before tax,ProfitBeforeTaxTotalProfitBeforeTax
CurrentTax,37230000000,-7,INR,Current tax,CurrentTax
DeferredTax,31160000000,-7,INR,Deferred tax,DeferredTax
TaxExpense,68390000000,-7,INR,Total tax expense,TaxExpenseTotalTaxExpense
NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,0,-7,INR,Net movement in regulatory deferral account balances related to profit or loss and the related deferred tax movement,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement
ProfitLossForPeriodFromContinuingOperations,218040000000,-7,INR,Net profit (loss) for period from continuing operations,ProfitLossForPeriodFromContinuingOperationsNetProfitLossForPeriodFromContinuingOperations
ProfitLossFromDiscontinuedOperationsBeforeTax,0,-7,INR,Profit (loss) from discontinued operations before tax,ProfitLossFromDiscontinuedOperationsBeforeTax
TaxExpenseOfDiscontinuedOperations,0,-7,INR,Tax expense of discontinued operations,TaxExpenseOfDiscontinuedOperations
ProfitLossFromDiscontinuedOperationsAfterTax,0,-7,INR,Net profit (loss) from discontinued operations after tax,ProfitLossFromDiscontinuedOperationsAfterTaxNetProfitLossFromDiscontinuedOperationsAfterTax
ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,1260000000,-7,INR,Share of profit (loss) of associates and joint ventures accounted for using equity method,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
ProfitLossForPeriod,219300000000,-7,INR,Total profit (loss) for period,ProfitLossForPeriodTotalProfitLossForPeriod
OtherComprehensiveIncomeNetOfTaxes,-19200000000,-7,INR,Other comprehensive income net of taxes,OtherComprehensiveIncomeNetOfTaxes
ComprehensiveIncomeForThePeriod,200100000000,-7,INR,Total comprehensive income for the period,ComprehensiveIncomeForThePeriodTotalComprehensiveIncomeForThePeriod
ProfitOrLossAttributableToOwnersOfParent,185400000000,-7,INR,Profit or loss'| attributable to owners of parent,ProfitOrLossAttributableToOwnersOfParent
ProfitOrLossAttributableToNonControllingInterests,33900000000,-7,INR,Profit or loss'| attributable to non-controlling interests,ProfitOrLossAttributableToNonControllingInterests
ComprehensiveIncomeForThePeriodAttributableToOwnersOfParent,165270000000,-7,INR,Total comprehensive income for the period attributable to owners of parent,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentTotalComprehensiveIncomeForThePeriodAttributableToOwnersOfParent
ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterests,34830000000,-7,INR,Total comprehensive income for the period attributable to owners of parent non-controlling interests,ComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterestsTotalComprehensiveIncomeForThePeriodAttributableToOwnersOfParentNonControllingInterests
PaidUpValueOfEquityShareCapital,135320000000,-7,INR,Paid-up equity share capital,PaidUpValueOfEquityShareCapitalPaidUpEquityShareCapital
FaceValueOfEquityShareCapital,10,0,INRPerShare,Face value of equity share capital,FaceValueOfEquityShareCapital
BasicEarningsLossPerShareFromContinuingOperations,13.7,0,INRPerShare,Basic earnings (loss) per share from continuing operations,BasicEarningsLossPerShareFromContinuingOperations
DilutedEarningsLossPerShareFromContinuingOperations,13.7,0,INRPerShare,Diluted earnings (loss) per share from continuing operations,DilutedEarningsLossPerShareFromContinuingOperations
BasicEarningsLossPerShareFromDiscontinuedOperations,0,0,INRPerShare,Basic earnings (loss) per share from discontinued operations,BasicEarningsLossPerShareFromDiscontinuedOperations
DilutedEarningsLossPerShareFromDiscontinuedOperations,0,0,INRPerShare,Diluted earnings (loss) per share from discontinued operations,DilutedEarningsLossPerShareFromDiscontinuedOperations
BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations,13.7,0,INRPerShare,Total basic earnings (loss) per share from continuing and discontinued operations,BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperationsTotalBasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations
DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations,13.7,0,INRPerShare,Total diluted earnings (loss) per share from continuing and discontinued operations,DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperationsTotalDilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations
DebtEquityRatio,0.0042,0,pure,Debt equity ratio,DebtEquityRatio
DebtServiceCoverageRatio,0.0217,0,pure,Debt service coverage ratio,DebtServiceCoverageRatio
InterestServiceCoverageRatio,0.0564,0,pure,Interest service coverage ratio,InterestServiceCoverageRatio
DisclosureOfNotesOnFinancialResultsExplanatoryTextBlock,Notes to Financial Results: &lt;BR&gt; 1. The following ratios which form part of the Consolidated Financial Results for the quarter and nine months ended 31st December'| 2024'| are reproduced below'| as there are no rows designated for the same in the XBRL format: &lt;BR&gt;   &lt;BR&gt;                  Ratio                                                               Quarter ended                   Nine Months ended  &lt;BR&gt;                                                                                    31st December'| 2024             31st December'| 2024 &lt;BR&gt;   &lt;BR&gt;  A)	Current ratio                                                             1.10                                  1.10 &lt;BR&gt;  B)	Long Term Debt to Working Capital                          2.97                                  2.97 &lt;BR&gt;  C)	Bad Debts to Account Receivable Ratio                    0.00                                  0.00           &lt;BR&gt;  D)	Current Liability Ratio                                                0.51                                  0.51 &lt;BR&gt;  E)	Total Debt to Total Assets                                         0.19                                  0.19 &lt;BR&gt;  F)	Debtors Turnover Ratio $                                         30.90                                29.54 &lt;BR&gt;  G)	Inventory Turnover Ratio $                                      5.15                                  5.40        &lt;BR&gt;  H)	Operating Margin (%)                                               11.5                                  10.5 &lt;BR&gt;   I)	Net Profit Margin (%)                                                8.2                                    7.5 &lt;BR&gt;   &lt;BR&gt;                  $ Ratios for the quarter / nine months have been annualised. &lt;BR&gt;   &lt;BR&gt;  2. Net Worth as at 31st December'| 2024 is Rs. 787'|043 Crore. &lt;BR&gt;   &lt;BR&gt;  3.Outstanding Capital Redemption Reserve/Debenture Redemption Reserve as at at 31st December'| 2024 is Rs.           1'|903 Crore.  &lt;BR&gt;   &lt;BR&gt;  4. Formulae for computation of ratios are as follows :  &lt;BR&gt;   &lt;BR&gt;     i. Debt Service Coverage Ratio      =        Earnings before Interest and Tax &lt;BR&gt;                                                                  ------------------------------------------------------------------------ &lt;BR&gt;                                                                   Interest Expense + Principal Repayments made during                             &lt;BR&gt;                                                                   the period for long term loans   &lt;BR&gt;   &lt;BR&gt;     ii. Interest Service Coverage Ratio =        Earnings before Interest and Tax  &lt;BR&gt;                                                                  ----------------------------------------------------------------------- &lt;BR&gt;                                                                   Interest Expense &lt;BR&gt;   &lt;BR&gt;     iii. Debt/ Equity Ratio     =                      Total Debt &lt;BR&gt;                                                                  ------------------ &lt;BR&gt;                                                                   Total Equity &lt;BR&gt;   &lt;BR&gt;   &lt;BR&gt;     iv. Current ratio      =                              Current Assets &lt;BR&gt;                                                                  --------------------- &lt;BR&gt;                                                                   Current Liabilities  &lt;BR&gt;   &lt;BR&gt;     v. Long term debt to working capital =     Non-Current Borrowings (Including Current Maturities of &lt;BR&gt;                                                                   Non-Current Borrowings) &lt;BR&gt;                                                                  ----------------------------------------------------------------------- &lt;BR&gt;                                                                   Current Assets Less Current Liabilities (Excluding Current &lt;BR&gt;                                                                   Maturities of Non-Current Borrowings) &lt;BR&gt;   &lt;BR&gt;     vi. Bad debts to Account receivable  =     Bad Debts &lt;BR&gt;          ratio                                                  ------------------ &lt;BR&gt;                                                                   Average Trade Receivables &lt;BR&gt;   &lt;BR&gt;   &lt;BR&gt;     vii. Current liability ratio      =                  Total Current Liabilities &lt;BR&gt;                                                                  ------------------------------- &lt;BR&gt;                                                                   Total Liabilities   &lt;BR&gt;   &lt;BR&gt;     viii. Total debts to total assets =             Total Debt &lt;BR&gt;                                                                  ----------------- &lt;BR&gt;                                                                   Total Assets &lt;BR&gt;   &lt;BR&gt;     ix. Debtors turnover =                             Value of Sales &amp; Services &lt;BR&gt;                                                                  ---------------------------------- &lt;BR&gt;                                                                   Average Trade Receivables &lt;BR&gt;   &lt;BR&gt;     x. Inventory turnover =                            Cost of Goods Sold (Cost of Material Consumed+ Purchases + &lt;BR&gt;                                                                    Changes in Inventory + Manufacturing Expenses) &lt;BR&gt;                                                                  -------------------------------------------------------------------- &lt;BR&gt;                                                                   Average Inventories of Finished Goods'| Stock-in-Process and  &lt;BR&gt;                                                                   Stock-in-Trade &lt;BR&gt;   &lt;BR&gt;   &lt;BR&gt;     xi. Operating margin (%) =                     Earnings before Interest and Tax less Other Income                                                                 &lt;BR&gt;                                                                  ----------------------------------- - - - - - - - - -- - - - - - &lt;BR&gt;                                                                   Value of Sales &amp; Services  &lt;BR&gt;   &lt;BR&gt;   &lt;BR&gt;    xii. Net profit margin (%) =        Profit After Tax and Share of Profit / (Loss) of Associates and Joint Ventures &lt;BR&gt;                                                        --------------------------------------------------------------------------------------------- &lt;BR&gt;                                                                                                        Value of Sales &amp; Services &lt;BR&gt;   &lt;BR&gt;   &lt;BR&gt;  5. During the quarter'| a) 142'|565 partly paid-up equity shares were cancelled post forfeiture; and b) 676'|61'|86'|449 equity shares were allotted to the eligible holders of equity shares on the record date (i.e.'| October 28'| 2024) as bonus equity shares by capitalizing securities premium. In accordance with the ‘Ind AS 33 – Earnings per Share’'| the figures of Earnings Per Share for the quarter ended September 30'| 2024 and year ended March 31'| 2024 and quarter/nine months ended December 31'| 2023 have been restated to give effect to the allotment of the bonus shares,0,,Disclosure of notes on financial results explanatory ,DisclosureOfNotesOnFinancialResultsExplanatoryTextBlockDisclosureOfNotesOnFinancialResultsExplanatory
OtherExpenses,38790000000,-7,INR,Excise duty,OtherExpensesExciseDuty
OtherExpenses,360830000000,-7,INR,Other expenses,OtherExpenses
SegmentRevenue,1495950000000,-7,INR,Oil to Chemicals (O2C),SegmentRevenueOilToChemicalsO2c
SegmentRevenue,63700000000,-7,INR,Oil and Gas,SegmentRevenueOilAndGas
SegmentRevenue,903510000000,-7,INR,Retail,SegmentRevenueRetail
SegmentRevenue,397330000000,-7,INR,Digital Services,SegmentRevenueDigitalServices
SegmentRevenue,122360000000,-7,INR,Others,SegmentRevenueOthers
SegmentRevenue,2982850000000,-7,INR,Segment revenue,SegmentRevenue
InterSegmentRevenue,310990000000,-7,INR,Inter segment revenue,InterSegmentRevenue
SegmentRevenueFromOperations,2671860000000,-7,INR,Revenue from operations,SegmentRevenueFromOperationsRevenueFromOperations
SegmentProfitLossBeforeTaxAndFinanceCosts,128190000000,-7,INR,Oil to Chemicals (O2C),SegmentProfitLossBeforeTaxAndFinanceCostsOilToChemicalsO2c
SegmentProfitLossBeforeTaxAndFinanceCosts,42220000000,-7,INR,Oil and Gas,SegmentProfitLossBeforeTaxAndFinanceCostsOilAndGas
SegmentProfitLossBeforeTaxAndFinanceCosts,53220000000,-7,INR,Retail,SegmentProfitLossBeforeTaxAndFinanceCostsRetail
SegmentProfitLossBeforeTaxAndFinanceCosts,102520000000,-7,INR,Digital Services,SegmentProfitLossBeforeTaxAndFinanceCostsDigitalServices
SegmentProfitLossBeforeTaxAndFinanceCosts,1140000000,-7,INR,Others,SegmentProfitLossBeforeTaxAndFinanceCostsOthers
SegmentProfitLossBeforeTaxAndFinanceCosts,327290000000,-7,INR,Segment profit (loss) before tax and finance costs,SegmentProfitLossBeforeTaxAndFinanceCosts
SegmentFinanceCosts,61790000000,-7,INR,Segment finance costs,SegmentFinanceCosts
OtherUnallocableExpenditureNetOffUnAllocableIncome,-20930000000,-7,INR,Other unallocable expenditure net off un-allocable income,OtherUnallocableExpenditureNetOffUnAllocableIncome
SegmentProfitBeforeTax,286430000000,-7,INR,Profit before tax,SegmentProfitBeforeTaxProfitBeforeTax
SegmentAssets,4269540000000,-7,INR,Oil to Chemicals (O2C),SegmentAssetsOilToChemicalsO2c
SegmentAssets,372960000000,-7,INR,Oil and Gas,SegmentAssetsOilAndGas
SegmentAssets,2100240000000,-7,INR,Retail,SegmentAssetsRetail
SegmentAssets,5927580000000,-7,INR,Digital Services,SegmentAssetsDigitalServices
SegmentAssets,3142620000000,-7,INR,Others,SegmentAssetsOthers
SegmentAssets,15812940000000,-7,INR,Segment assets,SegmentAssets
UnAllocableAssets,3062460000000,-7,INR,Un-allocable assets,UnAllocableAssets
NetSegmentAssets,18875400000000,-7,INR,Net segment assets,NetSegmentAssets
SegmentLiabilities,1635630000000,-7,INR,Oil to Chemicals (O2C),SegmentLiabilitiesOilToChemicalsO2c
SegmentLiabilities,81690000000,-7,INR,Oil and Gas,SegmentLiabilitiesOilAndGas
SegmentLiabilities,841010000000,-7,INR,Retail,SegmentLiabilitiesRetail
SegmentLiabilities,2500210000000,-7,INR,Digital Services,SegmentLiabilitiesDigitalServices
SegmentLiabilities,530360000000,-7,INR,Others,SegmentLiabilitiesOthers
SegmentLiabilities,5588900000000,-7,INR,Segment liabilities,SegmentLiabilities
UnAllocableLiabilities,13286500000000,-7,INR,Un-allocable liabilities,UnAllocableLiabilities
NetSegmentLiabilities,18875400000000,-7,INR,Net segment liabilities,NetSegmentLiabilities
DisclosureOfNotesOnSegmentsExplanatoryTextBlock,1. Q3 FY25 Segment Revenue includes Rs 23'|321 crore GST recovered. Net Revenue is Rs 243'|865 crore. &lt;BR&gt;  &lt;BR&gt;  2. 9M FY25 Segment Revenue includes Rs 67'|473 crore GST recovered. Net Revenue is Rs 715'|563 crore. &lt;BR&gt;   &lt;BR&gt;  3. Oil to Chemicals (O2C) and Retail results includes Interest income pertaining to the respective segments. &lt;BR&gt;  ,0,,Disclosure of notes on segments explanatory ,DisclosureOfNotesOnSegmentsExplanatoryTextBlockDisclosureOfNotesOnSegmentsExplanatory
AmountOfItemThatWillNotBeReclassifiedToProfitAndLoss,-1760000000,-7,INR,Items that will not be reclassified to Profit or Loss,AmountOfItemThatWillNotBeReclassifiedToProfitAndLossItemsThatWillNotBeReclassifiedToProfitOrLoss
AmountOfItemThatWillNotBeReclassifiedToProfitAndLoss,-1760000000,-7,INR,Amount of item that will not be reclassified to profit and loss,AmountOfItemThatWillNotBeReclassifiedToProfitAndLoss
IncomeTaxRelatingToItmesThatWillNotBeReclassifiedToProfitOrLoss,-420000000,-7,INR,Income tax relating to items that will not be reclassified to profit or loss,IncomeTaxRelatingToItmesThatWillNotBeReclassifiedToProfitOrLossIncomeTaxRelatingToItemsThatWillNotBeReclassifiedToProfitOrLoss
AmountOfItemThatWillBeReclassifiedToProfitAndLoss,-24820000000,-7,INR,Items that will be reclassified to Profit or Loss,AmountOfItemThatWillBeReclassifiedToProfitAndLossItemsThatWillBeReclassifiedToProfitOrLoss
AmountOfItemThatWillBeReclassifiedToProfitAndLoss,-24820000000,-7,INR,Amount of item that will be reclassified to profit and loss,AmountOfItemThatWillBeReclassifiedToProfitAndLoss
IncomeTaxRelatingToItmesThatWillBeReclassifiedToProfitOrLoss,-6960000000,-7,INR,Income tax relating to items that will be reclassified to profit or loss,IncomeTaxRelatingToItmesThatWillBeReclassifiedToProfitOrLossIncomeTaxRelatingToItemsThatWillBeReclassifiedToProfitOrLoss
InterestCoverage,5.6355397313481145816475157793,-7,INR,Interest Coverage,InterestCoverage
MarketCapSalesRatio,684.56660982993320676074959993,-7,INR,Market Capitalization Sales Ratio,MarketCapSalesRatio
NetMargin,0.0883992599131728199484841522,-7,INR,Net Margin,NetMargin
