Label,Value,Decimals,UnitId,Description,Key
ScripCode,500325,0,,Scrip code,ScripCode
Symbol,RELIANCE,0,,Symbol,Symbol
MSEISymbol,NA,0,,MSEI symbol,MSEISymbolMseiSymbol
ISIN,INE002A01018,0,,ISIN,ISINIsin
NameOfTheCompany,RELIANCE INDUSTRIES LIMITED,0,,Name of the company,NameOfTheCompany
TypeOfCompany,Main Board,0,,Type of company,TypeOfCompany
DateOfStartOfFinancialYear,01/04/2024,0,,Date of start of financial year,DateOfStartOfFinancialYear
DateOfEndOfFinancialYear,31/03/2025,0,,Date of end of financial year,DateOfEndOfFinancialYear
TypeOfReportingPeriod,Quarterly,0,,Type of reporting period,TypeOfReportingPeriod
ReportingQuarter,Fourth quarter,0,,Reporting quarter,ReportingQuarter
AccountReceivableTurnoverRatio,26.5803,-7,INR,Account Receivable Turnover Ratio,AccountReceivableTurnoverRatio
AccountReceivableDays,13.732,-7,INR,Account Receivable Days,AccountReceivableDays
AccrualRatio,0.0074,-7,INR,AccrualRatio,AccrualRatio
AssetTurnoverRatio,0.565,-7,INR,Asset Turnover Ratio,AssetTurnoverRatio
AssetToShareholdersEquity,2.3128,-7,INR,Asset to Shareholders Equity,AssetToShareholdersEquity
CashEps,99.3534,0,INRPerShare,Cash Eps,CashEps
CfoDebtRatio,0.5142,-7,INR,Cash Flow from Operation to Debt Ratio,CfoDebtRatio
CFROA,0.0916,-7,INR,Cash Flow Return on Assets,CFROA
CashRatio,0.2347,-7,INR,Cash Ratio,CashRatio
CashTurnoverRatio,9.3718,-7,INR,Cash Turnover Ratio,CashTurnoverRatio
CurrentRatio,1.1004,-7,INR,Current Ratio,CurrentRatio
DaysinWorkingCapital,16.6509,-7,INR,Days in Working Capital,DaysinWorkingCapital
DebtAssetsRatio,0.1782,-7,INR,Debt Assets Ratio,DebtAssetsRatio
DebtCapitalRatio,0.2919,-7,INR,Debt Capital Ratio,DebtCapitalRatio
DebtEbitdaRatio,1.8947,-7,INR,Debt EBITDA Ratio,DebtEbitdaRatio
DebtEquityRatio,0.4122,-7,INR,Debt Equity Ratio,DebtEquityRatio
DividendCoverageRatio,970.0446,0,INRPerShare,Dividend Coverage Ratio,DividendCoverageRatio
DividendPayoutRatio,8.8305,-7,INR,Dividend Payout Ratio,DividendPayoutRatio
EarningsYield,0.0587,4,INR,Earnings Yield,EarningsYield
EBITDA,1.83944E+12,-7,INR,Earnings before Interest'| Taxes'| Depreciation and Amortization,EBITDA
EbitdaMargin,0.1843,-7,INR,EBITDA Marging,EbitdaMargin
MarketCap,1.72533E+13,4,INR,Market Capital,MarketCap
EnterpriseValue,1.96636E+13,4,INR,Enterprise Value,EnterpriseValue
EnterpriseValueEbitdaRatio,10.69,4,INR,Enterprise Value EBITDA Ratio,EnterpriseValueEbitdaRatio
EnterpriseValueRevenueRatio,1.9701,4,INR,Enterprise Value Revenue Ratio,EnterpriseValueRevenueRatio
EPS,51.47,4,INR,EPS,EPS
FreeCashFlowToRevenue,0.067,-7,INR,Free Cash Flow To Revenue,FreeCashFlowToRevenue
InterestCoverage,5.3684,-7,INR,Interest Coverage,InterestCoverage
InventoryTurnoverRatio,1.5353,-7,INR,Inventory Turnover Ratio,InventoryTurnoverRatio
InventoryDay,237.7431,-7,INR,Inventory Day,InventoryDay
MarketCapSalesRatio,1.7603,-7,INR,Market Capitalization Sales Ratio,MarketCapSalesRatio
NetMargin,0.0815,-7,INR,Net Margin,NetMargin
OperatingCycleRatio,251.4751,-7,INR,Operating Cycle Ratio,OperatingCycleRatio
OperatingExpensesRatio,88.5416,-7,INR,Operating Expenses Ratio,OperatingExpensesRatio
OperatingMargin,0.1305,-7,INR,Operating Margin,OperatingMargin
PeRatio,17.025,4,INR,PE Ratio,PeRatio
BookValuePerShare,623.1156,0,INRPerShare,Book value per share,BookValuePerShare
PriceBookValue,2.0462,0,INRPerShare,Price to Book value,PriceBookValue
PriceSalesRatio,1.7603,-7,INR,Price Sales Ratio,PriceSalesRatio
PriceCashFlowOperationRatio,9.6547,-7,INR,Price Cash Flow Operation Ratio,PriceCashFlowOperationRatio
QuickRatio,0.3545,-7,INR,Quick Ratio,QuickRatio
ROA,0.0544,-7,INR,ROA,ROA
EBIT,1.30808E+12,-7,INR,Earnings Before Interest and Taxes,EBIT
ROCE,0.0874,-7,INR,ROCE,ROCE
ROE,0.0964,-7,INR,Return on Equity,ROE
ROIC,0.1243,-7,INR,Return on Equity,ROIC
ShareholdersEquityRatio,0.4324,-7,INR,Shareholders Equity Ratio,ShareholdersEquityRatio
ShortTermDebtEquityRatio,0.1312,-7,INR,Short Term Debt Equity Ratio,ShortTermDebtEquityRatio
PBIDTMEXOI,16.8797,-7,INR,PBIDTMEXOI,PBIDTMEXOI
PBIDTM,18.7139,-7,INR,PBIDTM,PBIDTM
PBDTM,16.2378,-7,INR,PBDTM,PBDTM
PBTM,10.8166,-7,INR,PBTM,PBTM
PATM,8.2957,-7,INR,PATM,PATM
PBIDTXOI,1.65444E+12,-7,INR,PBIDTXOI,PBIDTXOI
YOYQuarterlySalesGrowth,9.9113,-7,INR,YOY Quarterly Sales Growth,YOYQuarterlySalesGrowth
SalesGrowth,7.1805,-7,INR,Sales Growth,SalesGrowth
YOYQuarterlyProfitGrowth,6.4398,-7,INR,YOY Quarterly Profit Growth,YOYQuarterlyProfitGrowth
ProfitGrowth,2.8967,-7,INR,Profit Growth,ProfitGrowth
BVPSGrowth,-46.867,0,INRPerShare,Book value per share Growth,BVPSGrowth
SalesFixedAsset,0.6756,-7,INR,Sales Fixed Asset,SalesFixedAsset
CashFlowPerShare,132.0596,-7,INR,Cash Flow per Share,CashFlowPerShare
FreeCashFlowPerShare,65.705,-7,INR,Free Cash Flow Per Share,FreeCashFlowPerShare
CashProfitMargin,13.4699,-7,INR,Cash Profit Margin(%),CashProfitMargin
RevenueGrowth,7.2631,-7,INR,Revenue Growth,RevenueGrowth
EBITGrowth,2.3177,-7,INR,EBIT Growth(%),EBITGrowth
EpsGrowth,-49.9806,0,INRPerShare,EPS Growth(%),EpsGrowth
DebtorToSalesPct,4.2975,-7,INR,Debtor to Sales(%),DebtorToSalesPct
GrossProfitMarginPct,16.2378,-7,INR,Gross Profit Margin(%),GrossProfitMarginPct
ReturnOnNetworthEquityPct,8.0534,-7,INR,Return on Networth/Equity(%),ReturnOnNetworthEquityPct
DebtorsToEquity,0.0417,-7,INR,Debtors to Equity,DebtorsToEquity
InterestCover,5.3899,-7,INR,Interest Cover,InterestCover
OperatingProfitMarginPct,99.902,-7,INR,Operating Profit Margin(%),OperatingProfitMarginPct
WorkingCapitalDay,-23.1869,-7,INR,Working Capital Day,WorkingCapitalDay
DividendPerShare,0.0531,-7,INR,Dividend Per Share,DividendPerShare
DividendYieldPct,0.0042,-7,INR,Dividend Yield (%),DividendYieldPct
PayableDays,0.2966,-7,INR,Payable Days,PayableDays
CashConversionCycle,251.1785,-7,INR,Cash Conversion Cycle,CashConversionCycle
CashEarningsRetentionRatio,94.6595,-7,INR,Cash Earnings Retention Ratio,CashEarningsRetentionRatio
EarningsRetentionRatio,91.1695,-7,INR,Earnings Retention Ratio,EarningsRetentionRatio
WorkingCapitalSalesRatioPct,-6.3526,-7,INR,Working Capital to Sales Ratio (%),WorkingCapitalSalesRatioPct
EbitdaMarginPct,18.7672,-7,INR,EBITDA Margin (%),EbitdaMarginPct
FixedCapitalSalesRatioPct,111.4173,-7,INR,Fixed Capital to Sales Ratio (%),FixedCapitalSalesRatioPct
CpGrowthPct,3.5371,-7,INR,CP Growth(%),CpGrowthPct
PBIDTMEXOIGrowthPct,-4.8528,-7,INR,PBIDT Excl OI Growth (%),PBIDTMEXOIGrowthPct
Fixed_Assets_TA,74.398,-7,INR,Fixed_Assets_TA,Fixed_Assets_TA
Net_Sales_Growth,7.1805,-7,INR,Net_Sales_Growth,Net_Sales_Growth
NetProfit_To_PBT,0.7669,-7,INR,NetProfit_To_PBT,NetProfit_To_PBT
NetProfit_To_Sales,8.2957,-7,INR,NetProfit_To_Sales,NetProfit_To_Sales
NetSales_To_TotalAssets,0.5026,-7,INR,NetSales_To_TotalAssets,NetSales_To_TotalAssets
EBIT_Margin,13.1055,-7,INR,EBIT_Margin,EBIT_Margin
PAT_Growth,2.8967,-7,INR,PAT_Growth,PAT_Growth
InterestToDebt,0.0698,-7,INR,Interest to Debt,InterestToDebt
LT_Debt_Equity_Ratio,0.2346,-7,INR,LT_Debt_Equity_Ratio,LT_Debt_Equity_Ratio
AdjustedEPS_TTM,74.89,4,INR,Adjusted EPS_TTM,AdjustedEPS_TTM
NetWorthShareholdersEquity,8.432E+12,-7,INR,Net Worth (Shareholders’ Equity),NetWorthShareholdersEquity
ReturnNetWorthPct,8.0534,-7,INR,Return on Net Worth(%),ReturnNetWorthPct
EV_EBIT,15.0324,4,INR,EV_EBIT,EV_EBIT
EV_NetSales,2.0062,4,INR,EV_NetSales,EV_NetSales
MCapGrowthPct,-14.3375,-7,INR,MCap Growth %,MCapGrowthPct
Pre_Tax_Margin,10.8166,-7,INR,Pre_Tax_Margin,Pre_Tax_Margin
OperatingCashFlow3Y,4.52523E+12,-7,INR,Operating cash flow 3years,OperatingCashFlow3Y
FreeCashFlow,6.6874E+11,-7,INR,Free Cash Flow,FreeCashFlow
FCF_Yield,3.876,-7,INR,FCF Yield,FCF_Yield
NetworthGrowthPct,9.0559,-7,INR,Networth Growth (%),NetworthGrowthPct
OtherIncomeNetworthPct,1.7807,-7,INR,OtherIncome to NetWorth (%),OtherIncomeNetworthPct
OwnersFundToTotalSourcePct,51.7725,-7,INR,OwnersFund to Total Source (%),OwnersFundToTotalSourcePct
SalesToCurrentAssets,1.9631,-7,INR,Sales to Current Assets,SalesToCurrentAssets
PBDTGrowthPct,0,-7,INR,PBDT Growth %,PBDTGrowthPct
PBITGrowthPct,0,-7,INR,PBIT Growth %,PBITGrowthPct
PBITToSales,2.01328E+12,-7,INR,PBIT to Sales,PBITToSales
PBTGrowthPct,0,-7,INR,PBT Growth %,PBTGrowthPct
PbtToPbit,0,-7,INR,PBT to PBIT,PbtToPbit
ReturnOnSales,2.01328E+12,-7,INR,Return On Sales,ReturnOnSales
PceRatio,9.6547,-7,INR,PCE Ratio,PceRatio
PfcfRatio,19.4049,-7,INR,PFCF Ratio,PfcfRatio
ROA_After_Interest,4.3878,-7,INR,ROA_After_Interest,ROA_After_Interest
ROE_After_Interest,8.4022,-7,INR,ROE_After_Interest,ROE_After_Interest
ROE_After_Tax_Rate,8.4022,-7,INR,ROE_After_Tax_Rate,ROE_After_Tax_Rate
ROE_Before_Other_Income,6.5444,-7,INR,ROE Before Other Income,ROE_Before_Other_Income
TotalDebtToMarketCap,20.1428,4,INR,Total Debt to Market Cap,TotalDebtToMarketCap
OpCost_Asset,0.445,-7,INR,OpCost_Asset,OpCost_Asset
SalesGrowth3Y,9.7646,-7,INR,Sales Growth (3 Years),SalesGrowth3Y
ProfitGrowth3Y,9.7465,-7,INR,Profit Growth (3 Years),ProfitGrowth3Y
EpsGrowth3Y,-47.7939,0,INRPerShare,EPS Growth (3 Years),EpsGrowth3Y
SalesGrowthRate,7.1805,-7,INR,Sales Growth (3 Years),SalesGrowthRate
SalesPrecedingYear,11981316191,-7,INR,Sales Preceding Year,SalesPrecedingYear
Interest_To_Assets,0,4,INR,Interest_To_Assets,Interest_To_Assets
InvestmentDepositsRatio,0,4,INR,Investment Deposits Ratio,InvestmentDepositsRatio
NetInterestMargin,0,4,INR,Net Interest Margin (NIM),NetInterestMargin
XbrlUrl,https://www.bseindia.com/XBRLFILES/IFIndasDuplicateUploadDocument/Integrated_Finance_Ind_As_500325_1262025135955_IFIndAs.xml,0,,XbrlUrl,
