Label,Value,Decimals,UnitId,Description,Key
ScripCode,532540,0,,Scrip code,ScripCode
Symbol,TCS,0,,Symbol,Symbol
MSEISymbol,NOTLISTED,0,,MSEI symbol,MSEISymbolMseiSymbol
ISIN,INE467B01029,0,,ISIN,ISINIsin
NameOfTheCompany,Tata Consultancy Services Limited,0,,Name of the company,NameOfTheCompany
TypeOfCompany,Main Board,0,,Type of company,TypeOfCompany
DateOfStartOfFinancialYear,2024-04-01,0,,Date of start of financial year,DateOfStartOfFinancialYear
DateOfEndOfFinancialYear,2025-03-31,0,,Date of end of financial year,DateOfEndOfFinancialYear
TypeOfReportingPeriod,Quarterly,0,,Type of reporting period,TypeOfReportingPeriod
ReportingQuarter,Fourth quarter,0,,Reporting quarter,ReportingQuarter
DateOfStartOfReportingPeriod,2025-01-01,0,,Date of start of reporting period,DateOfStartOfReportingPeriod
DateOfEndOfReportingPeriod,2025-03-31,0,,Date of end of reporting period,DateOfEndOfReportingPeriod
NatureOfReportStandaloneConsolidated,Consolidated,0,,Nature of report standalone consolidated,NatureOfReportStandaloneConsolidated
AccountReceivableTurnoverRatio,4.5232,-7,INR,Account Receivable Turnover Ratio,AccountReceivableTurnoverRatio
AccountReceivableDays,80.6949,-7,INR,Account Receivable Days,AccountReceivableDays
AccrualRatio,-0.0138,-7,INR,AccrualRatio,AccrualRatio
AssetTurnoverRatio,1.7602,-7,INR,Asset Turnover Ratio,AssetTurnoverRatio
AssetToShareholdersEquity,1.6846,-7,INR,Asset to Shareholders Equity,AssetToShareholdersEquity
CashEps,37.768,0,INRPerShare,Cash Eps,CashEps
CfoDebtRatio,0,-7,INR,Cash Flow from Operation to Debt Ratio,CfoDebtRatio
CFROA,0.3064,-7,INR,Cash Flow Return on Assets,CFROA
CashRatio,0.1574,-7,INR,Cash Ratio,CashRatio
CashTurnoverRatio,31.082,-7,INR,Cash Turnover Ratio,CashTurnoverRatio
CurrentRatio,2.3209,-7,INR,Current Ratio,CurrentRatio
DaysinWorkingCapital,98.5539,-7,INR,Days in Working Capital,DaysinWorkingCapital
DebtAssetsRatio,0,-7,INR,Debt Assets Ratio,DebtAssetsRatio
DebtCapitalRatio,0,-7,INR,Debt Capital Ratio,DebtCapitalRatio
DebtEbitdaRatio,0,-7,INR,Debt EBITDA Ratio,DebtEbitdaRatio
DebtEquityRatio,0,-7,INR,Debt Equity Ratio,DebtEquityRatio
DividendCoverageRatio,1.0804,0,INRPerShare,Dividend Coverage Ratio,DividendCoverageRatio
DividendPayoutRatio,92.1409,-7,INR,Dividend Payout Ratio,DividendPayoutRatio
EarningsYield,0.0372,4,INR,Earnings Yield,EarningsYield
EBITDA,180080000000,-7,INR,Earnings before Interest'| Taxes'| Depreciation and Amortization,EBITDA
EbitdaMargin,0.2749,-7,INR,EBITDA Marging,EbitdaMargin
MarketCap,13048109000000,4,INR,Market Capital,MarketCap
EnterpriseValue,12964689000000,4,INR,Enterprise Value,EnterpriseValue
EnterpriseValueEbitdaRatio,71.9941,4,INR,Enterprise Value EBITDA Ratio,EnterpriseValueEbitdaRatio
EnterpriseValueRevenueRatio,19.7913,4,INR,Enterprise Value Revenue Ratio,EnterpriseValueRevenueRatio
EPS,33.79,4,INR,EPS,EPS
FreeCashFlowToRevenue,0.1967,-7,INR,Free Cash Flow To Revenue,FreeCashFlowToRevenue
InterestCoverage,73.2555,-7,INR,Interest Coverage,InterestCoverage
InventoryTurnoverRatio,0,4,INR,Inventory Turnover Ratio,InventoryTurnoverRatio
InventoryDay,0,4,INR,Inventory Day,InventoryDay
MarketCapSalesRatio,20.2362,-7,INR,Market Capitalization Sales Ratio,MarketCapSalesRatio
NetMargin,0.1877,-7,INR,Net Margin,NetMargin
OperatingCycleRatio,80.6949,4,INR,Operating Cycle Ratio,OperatingCycleRatio
OperatingExpensesRatio,75.6525,-7,INR,Operating Expenses Ratio,OperatingExpensesRatio
OperatingMargin,0.255,-7,INR,Operating Margin,OperatingMargin
PeRatio,26.8588,4,INR,PE Ratio,PeRatio
BookValuePerShare,261.7569,0,INRPerShare,Book value per share,BookValuePerShare
PriceBookValue,13.7702,0,INRPerShare,Price to Book value,PriceBookValue
PriceSalesRatio,20.2362,-7,INR,Price Sales Ratio,PriceSalesRatio
PriceCashFlowOperationRatio,26.6789,-7,INR,Price Cash Flow Operation Ratio,PriceCashFlowOperationRatio
QuickRatio,1.6955,-7,INR,Quick Ratio,QuickRatio
ROA,0.4093,-7,INR,ROA,ROA
EBIT,166290000000,-7,INR,Earnings Before Interest and Taxes,EBIT
ROCE,0.156,-7,INR,ROCE,ROCE
