Label,Value,Decimals,UnitId,Description,Key
ScripCode,500325,0,,Scrip code,ScripCode
Symbol,RELIANCE,0,,Symbol,Symbol
MSEISymbol,NOTLISTED,0,,MSEI symbol,MSEISymbolMseiSymbol
ISIN,INE002A01018,0,,ISIN,ISINIsin
NameOfTheCompany,RELIANCE INDUSTRIES LIMITED,0,,Name of the company,NameOfTheCompany
TypeOfCompany,Main Board,0,,Type of company,TypeOfCompany
DateOfStartOfFinancialYear,01/04/2024,0,,Date of start of financial year,DateOfStartOfFinancialYear
DateOfEndOfFinancialYear,31/03/2025,0,,Date of end of financial year,DateOfEndOfFinancialYear
TypeOfReportingPeriod,Quarterly,0,,Type of reporting period,TypeOfReportingPeriod
ReportingQuarter,Fourth quarter,0,,Reporting quarter,ReportingQuarter
AccountReceivableTurnoverRatio,35.1318,-7,INR,Account Receivable Turnover Ratio,AccountReceivableTurnoverRatio
AccountReceivableDays,10.3894,-7,INR,Account Receivable Days,AccountReceivableDays
AccrualRatio,-0.0062,-7,INR,AccrualRatio,AccrualRatio
AssetTurnoverRatio,0.5685,-7,INR,Asset Turnover Ratio,AssetTurnoverRatio
AssetToShareholdersEquity,1.8826,-7,INR,Asset to Shareholders Equity,AssetToShareholdersEquity
CashEps,39.346,0,INRPerShare,Cash Eps,CashEps
CfoDebtRatio,0.3993,-7,INR,Cash Flow from Operation to Debt Ratio,CfoDebtRatio
CFROA,0.0777,-7,INR,Cash Flow Return on Assets,CFROA
CashRatio,0.3197,-7,INR,Cash Ratio,CashRatio
CashTurnoverRatio,6.6555,-7,INR,Cash Turnover Ratio,CashTurnoverRatio
CurrentRatio,1.0451,-7,INR,Current Ratio,CurrentRatio
DaysinWorkingCapital,7.7324,-7,INR,Days in Working Capital,DaysinWorkingCapital
DebtAssetsRatio,0.1945,-7,INR,Debt Assets Ratio,DebtAssetsRatio
DebtCapitalRatio,0.268,-7,INR,Debt Capital Ratio,DebtCapitalRatio
DebtEbitdaRatio,2.6808,-7,INR,Debt EBITDA Ratio,DebtEbitdaRatio
DebtEquityRatio,0.3661,-7,INR,Debt Equity Ratio,DebtEquityRatio
DividendCoverageRatio,521.2,0,INRPerShare,Dividend Coverage Ratio,DividendCoverageRatio
DividendPayoutRatio,19.1878,-7,INR,Dividend Payout Ratio,DividendPayoutRatio
EarningsYield,0.0293,4,INR,Earnings Yield,EarningsYield
EBITDA,7.4163E+11,-7,INR,Earnings before Interest'| Taxes'| Depreciation and Amortization,EBITDA
EbitdaMargin,0.1351,-7,INR,EBITDA Marging,EbitdaMargin
MarketCap,1.72533E+13,4,INR,Market Capital,MarketCap
EnterpriseValue,1.84167E+13,4,INR,Enterprise Value,EnterpriseValue
EnterpriseValueEbitdaRatio,24.8328,4,INR,Enterprise Value EBITDA Ratio,EnterpriseValueEbitdaRatio
EnterpriseValueRevenueRatio,3.3553,4,INR,Enterprise Value Revenue Ratio,EnterpriseValueRevenueRatio
EPS,26.06,4,INR,EPS,EPS
FreeCashFlowToRevenue,0.0757,-7,INR,Free Cash Flow To Revenue,FreeCashFlowToRevenue
InterestCoverage,5.588,-7,INR,Interest Coverage,InterestCoverage
InventoryTurnoverRatio,0.1348,-7,INR,Inventory Turnover Ratio,InventoryTurnoverRatio
InventoryDay,2707.9222,-7,INR,Inventory Day,InventoryDay
MarketCapSalesRatio,3.2383,-7,INR,Market Capitalization Sales Ratio,MarketCapSalesRatio
NetMargin,0.0642,-7,INR,Net Margin,NetMargin
OperatingCycleRatio,2718.3116,-7,INR,Operating Cycle Ratio,OperatingCycleRatio
OperatingExpensesRatio,92.4759,-7,INR,Operating Expenses Ratio,OperatingExpensesRatio
OperatingMargin,0.1024,-7,INR,Operating Margin,OperatingMargin
PeRatio,34.1091,4,INR,PE Ratio,PeRatio
BookValuePerShare,401.3354,0,INRPerShare,Book value per share,BookValuePerShare
PriceBookValue,3.1769,0,INRPerShare,Price to Book value,PriceBookValue
PriceSalesRatio,3.2383,-7,INR,Price Sales Ratio,PriceSalesRatio
PriceCashFlowOperationRatio,21.7318,-7,INR,Price Cash Flow Operation Ratio,PriceCashFlowOperationRatio
QuickRatio,0.2818,-7,INR,Quick Ratio,QuickRatio
ROA,0.0451,-7,INR,ROA,ROA
EBIT,5.6182E+11,-7,INR,Earnings Before Interest and Taxes,EBIT
ROCE,0.0735,-7,INR,ROCE,ROCE
ROE,0.0649,-7,INR,Return on Equity,ROE
ROIC,0.0853,-7,INR,Return on Equity,ROIC
ShareholdersEquityRatio,0.5312,-7,INR,Shareholders Equity Ratio,ShareholdersEquityRatio
ShortTermDebtEquityRatio,0.0493,-7,INR,Short Term Debt Equity Ratio,ShortTermDebtEquityRatio
PBIDTMEXOI,10.899,-7,INR,PBIDTMEXOI,PBIDTMEXOI
PBIDTM,13.9197,-7,INR,PBIDTM,PBIDTM
PBDTM,12.0327,-7,INR,PBDTM,PBDTM
PBTM,8.6578,-7,INR,PBTM,PBTM
PATM,6.6183,-7,INR,PATM,PATM
PBIDTXOI,5.8069E+11,-7,INR,PBIDTXOI,PBIDTXOI
YOYQuarterlySalesGrowth,-9.8448,-7,INR,YOY Quarterly Sales Growth,YOYQuarterlySalesGrowth
SalesGrowth,-2.7649,-7,INR,Sales Growth,SalesGrowth
YOYQuarterlyProfitGrowth,-0.585,-7,INR,YOY Quarterly Profit Growth,YOYQuarterlyProfitGrowth
ProfitGrowth,-16.1267,-7,INR,Profit Growth,ProfitGrowth
BVPSGrowth,-47.2829,0,INRPerShare,Book value per share Growth,BVPSGrowth
SalesFixedAsset,0.7077,-7,INR,Sales Fixed Asset,SalesFixedAsset
CashFlowPerShare,58.6698,-7,INR,Cash Flow per Share,CashFlowPerShare
FreeCashFlowPerShare,30.753,-7,INR,Free Cash Flow Per Share,FreeCashFlowPerShare
CashProfitMargin,9.7002,-7,INR,Cash Profit Margin(%),CashProfitMargin
RevenueGrowth,-1.9969,-7,INR,Revenue Growth,RevenueGrowth
EBITGrowth,-18.2248,-7,INR,EBIT Growth(%),EBITGrowth
EpsGrowth,-58.0624,0,INRPerShare,EPS Growth(%),EpsGrowth
DebtorToSalesPct,2.9263,-7,INR,Debtor to Sales(%),DebtorToSalesPct
GrossProfitMarginPct,12.0327,-7,INR,Gross Profit Margin(%),GrossProfitMarginPct
ReturnOnNetworthEquityPct,6.4929,-7,INR,Return on Networth/Equity(%),ReturnOnNetworthEquityPct
DebtorsToEquity,0.0287,-7,INR,Debtors to Equity,DebtorsToEquity
InterestCover,5.588,-7,INR,Interest Cover,InterestCover
OperatingProfitMarginPct,99.8476,-7,INR,Operating Profit Margin(%),OperatingProfitMarginPct
WorkingCapitalDay,-9.3856,-7,INR,Working Capital Day,WorkingCapitalDay
DividendPerShare,0.05,-7,INR,Dividend Per Share,DividendPerShare
DividendYieldPct,0.0039,-7,INR,Dividend Yield (%),DividendYieldPct
PayableDays,0.3144,-7,INR,Payable Days,PayableDays
CashConversionCycle,2717.9972,-7,INR,Cash Conversion Cycle,CashConversionCycle
CashEarningsRetentionRatio,87.2922,-7,INR,Cash Earnings Retention Ratio,CashEarningsRetentionRatio
EarningsRetentionRatio,80.8122,-7,INR,Earnings Retention Ratio,EarningsRetentionRatio
WorkingCapitalSalesRatioPct,-2.5714,-7,INR,Working Capital to Sales Ratio (%),WorkingCapitalSalesRatioPct
EbitdaMarginPct,13.9197,-7,INR,EBITDA Margin (%),EbitdaMarginPct
FixedCapitalSalesRatioPct,59.5245,-7,INR,Fixed Capital to Sales Ratio (%),FixedCapitalSalesRatioPct
CpGrowthPct,-10.8635,-7,INR,CP Growth(%),CpGrowthPct
PBIDTMEXOIGrowthPct,-19.585,-7,INR,PBIDT Excl OI Growth (%),PBIDTMEXOIGrowthPct
Fixed_Assets_TA,73.6343,-7,INR,Fixed_Assets_TA,Fixed_Assets_TA
Net_Sales_Growth,-2.7649,-7,INR,Net_Sales_Growth,Net_Sales_Growth
NetProfit_To_PBT,0.7644,-7,INR,NetProfit_To_PBT,NetProfit_To_PBT
NetProfit_To_Sales,6.6183,-7,INR,NetProfit_To_Sales,NetProfit_To_Sales
NetSales_To_TotalAssets,0.5211,-7,INR,NetSales_To_TotalAssets,NetSales_To_TotalAssets
EBIT_Margin,10.2356,-7,INR,EBIT_Margin,EBIT_Margin
PAT_Growth,-16.1267,-7,INR,PAT_Growth,PAT_Growth
InterestToDebt,0.0506,-7,INR,Interest to Debt,InterestToDebt
LT_Debt_Equity_Ratio,0.3168,-7,INR,LT_Debt_Equity_Ratio,LT_Debt_Equity_Ratio
AdjustedEPS_TTM,37.38,4,INR,Adjusted EPS_TTM,AdjustedEPS_TTM
NetWorthShareholdersEquity,5.43087E+12,-7,INR,Net Worth (Shareholders’ Equity),NetWorthShareholdersEquity
ReturnNetWorthPct,6.4929,-7,INR,Return on Net Worth(%),ReturnNetWorthPct
EV_EBIT,32.7805,4,INR,EV_EBIT,EV_EBIT
EV_NetSales,3.4566,4,INR,EV_NetSales,EV_NetSales
MCapGrowthPct,-14.3375,-7,INR,MCap Growth %,MCapGrowthPct
Pre_Tax_Margin,8.6578,-7,INR,Pre_Tax_Margin,Pre_Tax_Margin
OperatingCashFlow3Y,2.0144E+12,-7,INR,Operating cash flow 3years,OperatingCashFlow3Y
FreeCashFlow,4.1553E+11,-7,INR,Free Cash Flow,FreeCashFlow
FCF_Yield,2.4084,-7,INR,FCF Yield,FCF_Yield
NetworthGrowthPct,5.4341,-7,INR,Networth Growth (%),NetworthGrowthPct
OtherIncomeNetworthPct,2.9634,-7,INR,OtherIncome to NetWorth (%),OtherIncomeNetworthPct
OwnersFundToTotalSourcePct,53.1188,-7,INR,OwnersFund to Total Source (%),OwnersFundToTotalSourcePct
SalesToCurrentAssets,1.9765,-7,INR,Sales to Current Assets,SalesToCurrentAssets
PBDTGrowthPct,0,-7,INR,PBDT Growth %,PBDTGrowthPct
PBITGrowthPct,0,-7,INR,PBIT Growth %,PBITGrowthPct
PBITToSales,6.65408E+11,-7,INR,PBIT to Sales,PBITToSales
PBTGrowthPct,0,-7,INR,PBT Growth %,PBTGrowthPct
PbtToPbit,0,-7,INR,PBT to PBIT,PbtToPbit
ReturnOnSales,6.65408E+11,-7,INR,Return On Sales,ReturnOnSales
PceRatio,21.7318,-7,INR,PCE Ratio,PceRatio
PfcfRatio,41.4593,-7,INR,PFCF Ratio,PfcfRatio
ROA_After_Interest,3.5581,-7,INR,ROA_After_Interest,ROA_After_Interest
ROE_After_Interest,6.6646,-7,INR,ROE_After_Interest,ROE_After_Interest
ROE_After_Tax_Rate,6.6646,-7,INR,ROE_After_Tax_Rate,ROE_After_Tax_Rate
ROE_Before_Other_Income,3.6228,-7,INR,ROE Before Other Income,ROE_Before_Other_Income
TotalDebtToMarketCap,11.5232,4,INR,Total Debt to Market Cap,TotalDebtToMarketCap
OpCost_Asset,0.4819,-7,INR,OpCost_Asset,OpCost_Asset
SalesGrowth3Y,-1.9249,-7,INR,Sales Growth (3 Years),SalesGrowth3Y
ProfitGrowth3Y,-20.2307,-7,INR,Profit Growth (3 Years),ProfitGrowth3Y
EpsGrowth3Y,-60.1163,0,INRPerShare,EPS Growth (3 Years),EpsGrowth3Y
SalesGrowthRate,-2.7649,-7,INR,Sales Growth (3 Years),SalesGrowthRate
SalesPrecedingYear,-30188376919,-7,INR,Sales Preceding Year,SalesPrecedingYear
Interest_To_Assets,0,4,INR,Interest_To_Assets,Interest_To_Assets
InvestmentDepositsRatio,0,4,INR,Investment Deposits Ratio,InvestmentDepositsRatio
NetInterestMargin,0,4,INR,Net Interest Margin (NIM),NetInterestMargin
XbrlUrl,https://www.bseindia.com/XBRLFILES/IFIndasDuplicateUploadDocument/Integrated_Finance_Ind_As_500325_1262025141943_IFIndAs.xml,0,,XbrlUrl,
