Label,Value,Decimals,UnitId,Description,Key
ScripCode,500325,0,,Scrip code,ScripCode
Symbol,RELIANCE,0,,Symbol,Symbol
MSEISymbol,NA,0,,MSEI symbol,MSEISymbolMseiSymbol
ISIN,INE002A01018,0,,ISIN,ISINIsin
NameOfTheCompany,RELIANCE INDUSTRIES LIMITED,0,,Name of the company,NameOfTheCompany
DateOfStartOfFinancialYear,2024-04-01,0,,Date of start of financial year,DateOfStartOfFinancialYear
DateOfEndOfFinancialYear,2025-03-31,0,,Date of end of financial year,DateOfEndOfFinancialYear
ReportingQuarter,Half yearly,0,,Reporting quarter,ReportingQuarter
DateOfStartOfReportingPeriod,2024-07-01,0,,Date of start of reporting period,DateOfStartOfReportingPeriod
DateOfEndOfReportingPeriod,2024-09-30,0,,Date of end of reporting period,DateOfEndOfReportingPeriod
NatureOfReportStandaloneConsolidated,Standalone,0,,Nature of report standalone consolidated,NatureOfReportStandaloneConsolidated
AccountReceivableTurnoverRatio,34.6382,-7,INR,Account Receivable Turnover Ratio,AccountReceivableTurnoverRatio
AccountReceivableDays,10.5375,-7,INR,Account Receivable Days,AccountReceivableDays
AccrualRatio,0.0093,-7,INR,AccrualRatio,AccrualRatio
AssetTurnoverRatio,0,4,INR,Asset Turnover Ratio,AssetTurnoverRatio
AssetToShareholdersEquity,1.863,-7,INR,Asset to Shareholders Equity,AssetToShareholdersEquity
CashEps,17.8289,0,INRPerShare,Cash Eps,CashEps
CfoDebtRatio,0.3494,-7,INR,Cash Flow from Operation to Debt Ratio,CfoDebtRatio
CFROA,0.0771,-7,INR,Cash Flow Return on Assets,CFROA
CashRatio,0.2885,-7,INR,Cash Ratio,CashRatio
CashTurnoverRatio,8.0879,-7,INR,Cash Turnover Ratio,CashTurnoverRatio
CurrentRatio,1.0942,-7,INR,Current Ratio,CurrentRatio
DaysinWorkingCapital,14.7357,-7,INR,Days in Working Capital,DaysinWorkingCapital
DebtAssetsRatio,0.2207,-7,INR,Debt Assets Ratio,DebtAssetsRatio
DebtCapitalRatio,0.2914,-7,INR,Debt Capital Ratio,DebtCapitalRatio
DebtEbitdaRatio,2.4515,-7,INR,Debt EBITDA Ratio,DebtEbitdaRatio
DebtEquityRatio,0.4112,-7,INR,Debt Equity Ratio,DebtEquityRatio
DividendCoverageRatio,690.4898,0,INRPerShare,Dividend Coverage Ratio,DividendCoverageRatio
DividendPayoutRatio,14.4831,-7,INR,Dividend Payout Ratio,DividendPayoutRatio
EarningsYield,0.0183,4,INR,Earnings Yield,EarningsYield
EBITDA,172260000000,-7,INR,Earnings before Interest'| Taxes'| Depreciation and Amortization,EBITDA
EbitdaMargin,0.125,-7,INR,EBITDA Marging,EbitdaMargin
MarketCap,19985410800000,4,INR,Market Capital,MarketCap
EnterpriseValue,21410830800000,4,INR,Enterprise Value,EnterpriseValue
EnterpriseValueEbitdaRatio,124.2937,4,INR,Enterprise Value EBITDA Ratio,EnterpriseValueEbitdaRatio
EnterpriseValueRevenueRatio,15.5314,4,INR,Enterprise Value Revenue Ratio,EnterpriseValueRevenueRatio
EPS,11.4,4,INR,EPS,EPS
FreeCashFlowToRevenue,0.0592,-7,INR,Free Cash Flow To Revenue,FreeCashFlowToRevenue
InterestCoverage,4.837,-7,INR,Interest Coverage,InterestCoverage
InventoryTurnoverRatio,-0.3391,-7,INR,Inventory Turnover Ratio,InventoryTurnoverRatio
InventoryDay,-1076.5259,-7,INR,Inventory Day,InventoryDay
MarketCapSalesRatio,14.9085,-7,INR,Market Capitalization Sales Ratio,MarketCapSalesRatio
NetMargin,0.056,-7,INR,Net Margin,NetMargin
OperatingCycleRatio,-1065.9884,-7,INR,Operating Cycle Ratio,OperatingCycleRatio
OperatingExpensesRatio,89.675,-7,INR,Operating Expenses Ratio,OperatingExpensesRatio
OperatingMargin,0.1227,-7,INR,Operating Margin,OperatingMargin
PeRatio,54.7,4,INR,PE Ratio,PeRatio
BookValuePerShare,761.3006,0,INRPerShare,Book value per share,BookValuePerShare
PriceBookValue,3.8799,0,INRPerShare,Price to Book value,PriceBookValue
PriceSalesRatio,14.9085,-7,INR,Price Sales Ratio,PriceSalesRatio
PriceCashFlowOperationRatio,27.008,-7,INR,Price Cash Flow Operation Ratio,PriceCashFlowOperationRatio
QuickRatio,0.3475,-7,INR,Quick Ratio,QuickRatio
ROA,0.0576,-7,INR,ROA,ROA
EBIT,128760000000,-7,INR,Earnings Before Interest and Taxes,EBIT
ROCE,0.0179,-7,INR,ROCE,ROCE
ROE,0.0816,-7,INR,Return on Equity,ROE
ROIC,0.0196,-7,INR,Return on Equity,ROIC
ShareholdersEquityRatio,0.5368,-7,INR,Shareholders Equity Ratio,ShareholdersEquityRatio
ShortTermDebtEquityRatio,0.0985,-7,INR,Short Term Debt Equity Ratio,ShortTermDebtEquityRatio
PBIDTMEXOI,10.0146,-7,INR,PBIDTMEXOI,PBIDTMEXOI
PBIDTM,12.85,-7,INR,PBIDTM,PBIDTM
PBDTM,10.8643,-7,INR,PBDTM,PBDTM
PBTM,7.6193,-7,INR,PBTM,PBTM
PATM,5.7537,-7,INR,PATM,PATM
PBIDTXOI,134250000000,-7,INR,PBIDTXOI,PBIDTXOI
YOYQuarterlySalesGrowth,-4.5539,-7,INR,YOY Quarterly Sales Growth,YOYQuarterlySalesGrowth
SalesGrowth,0.8639,-7,INR,Sales Growth,SalesGrowth
YOYQuarterlyProfitGrowth,-31.1831,-7,INR,YOY Quarterly Profit Growth,YOYQuarterlyProfitGrowth
ProfitGrowth,-4.8931,-7,INR,Profit Growth,ProfitGrowth
BVPSGrowth,2.4871,0,INRPerShare,Book value per share Growth,BVPSGrowth
SalesFixedAsset,0.7861,-7,INR,Sales Fixed Asset,SalesFixedAsset
CashFlowPerShare,109.3674,-7,INR,Cash Flow per Share,CashFlowPerShare
FreeCashFlowPerShare,-15.5897,-7,INR,Free Cash Flow Per Share,FreeCashFlowPerShare
CashProfitMargin,8.7505,-7,INR,Cash Profit Margin(%),CashProfitMargin
RevenueGrowth,1.0083,-7,INR,Revenue Growth,RevenueGrowth
EBITGrowth,-27.4224,-7,INR,EBIT Growth(%),EBITGrowth
EpsGrowth,-31.1594,0,INRPerShare,EPS Growth(%),EpsGrowth
DebtorToSalesPct,2.6901,-7,INR,Debtor to Sales(%),DebtorToSalesPct
GrossProfitMarginPct,10.8643,-7,INR,Gross Profit Margin(%),GrossProfitMarginPct
ReturnOnNetworthEquityPct,8.162,-7,INR,Return on Networth/Equity(%),ReturnOnNetworthEquityPct
DebtorsToEquity,0.0286,-7,INR,Debtors to Equity,DebtorsToEquity
InterestCover,4.837,-7,INR,Interest Cover,InterestCover
OperatingProfitMarginPct,100.0363,-7,INR,Operating Profit Margin(%),OperatingProfitMarginPct
WorkingCapitalDay,-28.5303,-7,INR,Working Capital Day,WorkingCapitalDay
DividendPerShare,0.09,-7,INR,Dividend Per Share,DividendPerShare
DividendYieldPct,0.003,-7,INR,Dividend Yield (%),DividendYieldPct
PayableDays,0.3308,-7,INR,Payable Days,PayableDays
CashConversionCycle,-1066.3192,-7,INR,Cash Conversion Cycle,CashConversionCycle
CashEarningsRetentionRatio,89.8061,-7,INR,Cash Earnings Retention Ratio,CashEarningsRetentionRatio
EarningsRetentionRatio,85.5169,-7,INR,Earnings Retention Ratio,EarningsRetentionRatio
WorkingCapitalSalesRatioPct,-7.8165,-7,INR,Working Capital to Sales Ratio (%),WorkingCapitalSalesRatioPct
EbitdaMarginPct,12.85,-7,INR,EBITDA Margin (%),EbitdaMarginPct
FixedCapitalSalesRatioPct,57.847,-7,INR,Fixed Capital to Sales Ratio (%),FixedCapitalSalesRatioPct
CpGrowthPct,9.9308,-7,INR,CP Growth(%),CpGrowthPct
PBIDTMEXOIGrowthPct,9.7318,-7,INR,PBIDT Excl OI Growth (%),PBIDTMEXOIGrowthPct
Fixed_Assets_TA,72.6331,-7,INR,Fixed_Assets_TA,Fixed_Assets_TA
Net_Sales_Growth,0.8639,-7,INR,Net_Sales_Growth,Net_Sales_Growth
NetProfit_To_PBT,0.7551,-7,INR,NetProfit_To_PBT,NetProfit_To_PBT
NetProfit_To_Sales,5.7537,-7,INR,NetProfit_To_Sales,NetProfit_To_Sales
NetSales_To_TotalAssets,0,4,INR,NetSales_To_TotalAssets,NetSales_To_TotalAssets
EBIT_Margin,9.3402,-7,INR,EBIT_Margin,EBIT_Margin
PAT_Growth,-4.8931,-7,INR,PAT_Growth,PAT_Growth
InterestToDebt,0.0126,-7,INR,Interest to Debt,InterestToDebt
LT_Debt_Equity_Ratio,0.3127,-7,INR,LT_Debt_Equity_Ratio,LT_Debt_Equity_Ratio
AdjustedEPS_TTM,54,4,INR,Adjusted EPS_TTM,AdjustedEPS_TTM
NetWorthShareholdersEquity,5150960000000,-7,INR,Net Worth (Shareholders’ Equity),NetWorthShareholdersEquity
ReturnNetWorthPct,8.162,-7,INR,Return on Net Worth(%),ReturnNetWorthPct
EV_EBIT,166.2848,4,INR,EV_EBIT,EV_EBIT
EV_NetSales,15.9718,4,INR,EV_NetSales,EV_NetSales
MCapGrowthPct,25.8811,-7,INR,MCap Growth %,MCapGrowthPct
Pre_Tax_Margin,7.6193,-7,INR,Pre_Tax_Margin,Pre_Tax_Margin
OperatingCashFlow3Y,1895390000000,-7,INR,Operating cash flow 3years,OperatingCashFlow3Y
FreeCashFlow,331420000000,-7,INR,Free Cash Flow,FreeCashFlow
FCF_Yield,2.0875,-7,INR,FCF Yield,FCF_Yield
NetworthGrowthPct,2.4871,-7,INR,Networth Growth (%),NetworthGrowthPct
OtherIncomeNetworthPct,2.3545,-7,INR,OtherIncome to NetWorth (%),OtherIncomeNetworthPct
OwnersFundToTotalSourcePct,53.6758,-7,INR,OwnersFund to Total Source (%),OwnersFundToTotalSourcePct
SalesToCurrentAssets,2.0864,-7,INR,Sales to Current Assets,SalesToCurrentAssets
PBDTGrowthPct,0,-7,INR,PBDT Growth %,PBDTGrowthPct
PBITGrowthPct,0,-7,INR,PBIT Growth %,PBITGrowthPct
PBITToSales,153162203293.077,-7,INR,PBIT to Sales,PBITToSales
PBTGrowthPct,0,-7,INR,PBT Growth %,PBTGrowthPct
PbtToPbit,0,-7,INR,PBT to PBIT,PbtToPbit
ReturnOnSales,153162203293.077,-7,INR,Return On Sales,ReturnOnSales
PceRatio,27.008,-7,INR,PCE Ratio,PceRatio
PfcfRatio,-189.4711,-7,INR,PFCF Ratio,PfcfRatio
ROA_After_Interest,4.4858,-7,INR,ROA_After_Interest,ROA_After_Interest
ROE_After_Interest,8.2622,-7,INR,ROE_After_Interest,ROE_After_Interest
ROE_After_Tax_Rate,8.2622,-7,INR,ROE_After_Tax_Rate,ROE_After_Tax_Rate
ROE_Before_Other_Income,5.8788,-7,INR,ROE Before Other Income,ROE_Before_Other_Income
TotalDebtToMarketCap,13.3399,4,INR,Total Debt to Market Cap,TotalDebtToMarketCap
OpCost_Asset,0.512,-7,INR,OpCost_Asset,OpCost_Asset
SalesGrowth3Y,23.0294,-7,INR,Sales Growth (3 Years),SalesGrowth3Y
ProfitGrowth3Y,7.5683,-7,INR,Profit Growth (3 Years),ProfitGrowth3Y
EpsGrowth3Y,4.8953,0,INRPerShare,EPS Growth (3 Years),EpsGrowth3Y
SalesGrowthRate,0.8639,-7,INR,Sales Growth (3 Years),SalesGrowthRate
SalesPrecedingYear,29397979115.8749,-7,INR,Sales Preceding Year,SalesPrecedingYear
Interest_To_Assets,0,4,INR,Interest_To_Assets,Interest_To_Assets
InvestmentDepositsRatio,0,4,INR,Investment Deposits Ratio,InvestmentDepositsRatio
NetInterestMargin,0,4,INR,Net Interest Margin (NIM),NetInterestMargin
XbrlUrl,https://www.bseindia.com/XBRLFILES/FourOneUploadDocument/Main_Ind_As_500325_14102024195051.xml,0,,XbrlUrl,
