Label,Value,Decimals,UnitId,Description,Key
ScripCode,500325,0,,Scrip code,ScripCode
Symbol,RELIANCE,0,,Symbol,Symbol
MSEISymbol,NOTLISTED,0,,MSEI symbol,MSEISymbolMseiSymbol
ISIN,INE002A01018,0,,ISIN,ISINIsin
NameOfTheCompany,RELIANCE INDUSTRIES LIMITED,0,,Name of the company,NameOfTheCompany
TypeOfCompany,Main Board,0,,Type of company,TypeOfCompany
ClassOfSecurity,Equity,0,,Class of security,ClassOfSecurity
DateOfStartOfFinancialYear,2024-04-01,0,,Date of start of financial year,DateOfStartOfFinancialYear
DateOfEndOfFinancialYear,2025-03-31,0,,Date of end of financial year,DateOfEndOfFinancialYear
DateOfBoardMeetingWhenFinancialResultsWereApproved,2025-04-25,0,,Date of board meeting when financial results were approved,DateOfBoardMeetingWhenFinancialResultsWereApproved
DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange,2025-04-18,0,,Date on which prior intimation of the meeting for considering financial results was informed to the exchange,DateOnWhichPriorIntimationOfTheMeetingForConsideringFinancialResultsWasInformedToTheExchange
DescriptionOfPresentationCurrency,INR,0,,Description of presentation currency,DescriptionOfPresentationCurrency
LevelOfRounding,Crores,0,,Level of rounding,LevelOfRounding
TypeOfReportingPeriod,Quarterly,0,,Type of reporting period,TypeOfReportingPeriod
ReportingQuarter,Fourth quarter,0,,Reporting quarter,ReportingQuarter
IsCompanyReportingMultisegmentOrSingleSegment,Multi segment,0,,Is company reporting multi segment or single segment,IsCompanyReportingMultisegmentOrSingleSegmentIsCompanyReportingMultiSegmentOrSingleSegment
DateOfStartOfBoardMeeting,2025-04-25,0,,Date of start of board meeting,DateOfStartOfBoardMeeting
StartTimeOfBoardMeeting,17:00:00,0,,Start time of board meeting,StartTimeOfBoardMeeting
DateOfEndOfBoardMeeting,2025-04-25,0,,Date of end of board meeting,DateOfEndOfBoardMeeting
EndTimeOfBoardMeeting,19:25:00,0,,End time of board meeting,EndTimeOfBoardMeeting
WhetherCashFlowStatementIsApplicableOnCompany,true,0,,Whether cash flow statement is applicable on company,WhetherCashFlowStatementIsApplicableOnCompany
TypeOfCashFlowStatement,Cash Flow Indirect,0,,Type of cash flow statement,TypeOfCashFlowStatement
DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification,Declaration of unmodified opinion,0,,Declaration of unmodified opinion or statement on impact of audit qualification,DeclarationOfUnmodifiedOpinionOrStatementOnImpactOfAuditQualification
WhetherTheCompanyHasAnyRelatedParty,true,0,,Whether the company has any related party,WhetherTheCompanyHasAnyRelatedParty
WhetherTheCompanyHasEnteredIntoAnyRelatedPartyTransactionDuringThePeriod,true,0,,Whether the company has entered into any related party transaction during the period,WhetherTheCompanyHasEnteredIntoAnyRelatedPartyTransactionDuringThePeriod
WeDeclareThatTheAcceptanceOfFixedDepositsByTheBanksOrNonBankingFinanceCompanyAreAtTheTermsUniformlyApplicableOrOfferedToAllShareholdersOrPublic,NA,0,,We declare that the acceptance of Fixed Deposits by the Banks / Non-Banking Finance Company are at the terms uniformly applicable/offered to all shareholders/public,WeDeclareThatTheAcceptanceOfFixedDepositsByTheBanksOrNonBankingFinanceCompanyAreAtTheTermsUniformlyApplicableOrOfferedToAllShareholdersOrPublicWeDeclareThatTheAcceptanceOfFixedDepositsByTheBanksNonBankingFinanceCompanyAreAtTheTermsUniformlyApplicableOfferedToAllShareholdersPublic
WeDeclareThatTheScheduledCommercialBankAsPerRBICircularRBIDBR20151619Dated03March2016HasAllowedAdditionalInterestOfOnePerCentPerAnnumOverAndAboveTheRateOfInterestMentionedInTheScheduleOfInterestRatesOnSavings,NA,0,,We declare that the scheduled commercial bank as per RBI circular RBI/DBR/2015-16/ 19 Dated March 03 2016 has allowed additional interest of one percent per annum over and above the rate of interest mentioned in the schedule of interest rates on savings,WeDeclareThatTheScheduledCommercialBankAsPerRBICircularRBIDBR20151619Dated03March2016HasAllowedAdditionalInterestOfOnePerCentPerAnnumOverAndAboveTheRateOfInterestMentionedInTheScheduleOfInterestRatesOnSavingsWeDeclareThatTheScheduledCommercialBankAsPerRbiCircularRbiDbr20151619DatedMarch032016HasAllowedAdditionalInterestOfOnePercentPerAnnumOverAndAboveTheRateOfInterestMentionedInTheScheduleOfInterestRatesOnSavings
WhetherTheUpdatedRelatedPartyTransactionsPolicyHasBeenUploadedOnTheWebsiteOfTheCompanyInComplianceWithRegulation23,true,0,,Whether the updated related party transactions policy has been uploaded on the website of the company in compliance with Regulation 23,WhetherTheUpdatedRelatedPartyTransactionsPolicyHasBeenUploadedOnTheWebsiteOfTheCompanyInComplianceWithRegulation23
LatestDateOnWhichRelatedPartyTransactionsPolicyIsUpdated,2025-04-25,0,,Latest date on which related party transactions policy is updated,LatestDateOnWhichRelatedPartyTransactionsPolicyIsUpdated
WebsiteLinkForUpdatedRelatedPartyTransactionsPolicyOfTheCompany,https://www.ril.com/sites/default/files/2023-01/Policy-on-Materiality-of-RPT.pdf,0,,Website link for updated related party transactions policy of the company,WebsiteLinkForUpdatedRelatedPartyTransactionsPolicyOfTheCompany
WhetherStatementOnDeviationOrVariationForProceedsOfPublicIssueOrRightIssueOrPreferentialIssueOrQIPEtcIsApplicableToTheCompanyForTheCurrentQuarter,false,0,,Whether statement on Deviation / Variation for proceeds of Public Issue / Right Issue / Preferential Issue / QIP etc is applicable to the company for the current quarter,WhetherStatementOnDeviationOrVariationForProceedsOfPublicIssueOrRightIssueOrPreferentialIssueOrQIPEtcIsApplicableToTheCompanyForTheCurrentQuarterWhetherStatementOnDeviationVariationForProceedsOfPublicIssueRightIssuePreferentialIssueQipEtcIsApplicableToTheCompanyForTheCurrentQuarter
WhetherTheDisclosureForTheDefaultOnLoansAndDebtSecuritiesIsApplicableToTheEntity,false,0,,Whether the disclosure for the default on loans and debt securities is applicable to the entity,WhetherTheDisclosureForTheDefaultOnLoansAndDebtSecuritiesIsApplicableToTheEntity
NoteForNonApplicabilityOfTheDisclosureForTheDefaultOnLoansAndDebtSecuritiesToTheEntity,Not applicable'| no default.,0,,Note for non-applicability of the disclosure for the default on loans and debt securities to the entity,NoteForNonApplicabilityOfTheDisclosureForTheDefaultOnLoansAndDebtSecuritiesToTheEntity
DateOfStartOfReportingPeriod,2025-01-01,0,,Date of start of reporting period,DateOfStartOfReportingPeriod
DateOfEndOfReportingPeriod,2025-03-31,0,,Date of end of reporting period,DateOfEndOfReportingPeriod
WhetherResultsAreAuditedOrUnaudited,Audited,0,,Whether results are audited or unaudited,WhetherResultsAreAuditedOrUnaudited
NatureOfReportStandaloneConsolidated,Standalone,0,,Nature of report standalone consolidated,NatureOfReportStandaloneConsolidated
RevenueFromOperations,1361470000000,-7,INR,Revenue from operations,RevenueFromOperations
OtherIncome,55770000000,-7,INR,Other income,OtherIncome
Income,1417240000000,-7,INR,Total income,IncomeTotalIncome
CostOfMaterialsConsumed,959450000000,-7,INR,Cost of materials consumed,CostOfMaterialsConsumed
PurchasesOfStockInTrade,46100000000,-7,INR,Purchases of stock-in-trade,PurchasesOfStockInTrade
ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade,-9950000000,-7,INR,Changes in inventories of finished goods work-in-progress and stock-in-trade,ChangesInInventoriesOfFinishedGoodsWorkInProgressAndStockInTrade
EmployeeBenefitExpense,22760000000,-7,INR,Employee benefit expense,EmployeeBenefitExpense
FinanceCosts,20580000000,-7,INR,Finance costs,FinanceCosts
DepreciationDepletionAndAmortisationExpense,44640000000,-7,INR,Depreciation depletion and amortisation expense,DepreciationDepletionAndAmortisationExpense
OtherExpenses,191950000000,-7,INR,Other expenses Sum,OtherExpensesOtherExpensesSum
Expenses,1275530000000,-7,INR,Total Expenses,ExpensesTotalExpenses
ProfitBeforeExceptionalItemsAndTax,141710000000,-7,INR,Total profit before exceptional items and tax,ProfitBeforeExceptionalItemsAndTaxTotalProfitBeforeExceptionalItemsAndTax
ExceptionalItemsBeforeTax,0,-7,INR,Exceptional items before tax,ExceptionalItemsBeforeTax
ProfitBeforeTax,141710000000,-7,INR,Total profit before tax,ProfitBeforeTaxTotalProfitBeforeTax
CurrentTax,23460000000,-7,INR,Current tax,CurrentTax
DeferredTax,6080000000,-7,INR,Deferred tax,DeferredTax
TaxExpense,29540000000,-7,INR,Total tax expense,TaxExpenseTotalTaxExpense
NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement,0,-7,INR,Net movement in regulatory deferral account balances related to profit or loss and the related deferred tax movement,NetMovementInRegulatoryDeferralAccountBalancesRelatedToProfitOrLossAndTheRelatedDeferredTaxMovement
ProfitLossForPeriodFromContinuingOperations,112170000000,-7,INR,Net profit (loss) for period from continuing operations,ProfitLossForPeriodFromContinuingOperationsNetProfitLossForPeriodFromContinuingOperations
ProfitLossFromDiscontinuedOperationsBeforeTax,0,-7,INR,Profit (loss) from discontinued operations before tax,ProfitLossFromDiscontinuedOperationsBeforeTax
TaxExpenseOfDiscontinuedOperations,0,-7,INR,Tax expense of discontinued operations,TaxExpenseOfDiscontinuedOperations
ProfitLossFromDiscontinuedOperationsAfterTax,0,-7,INR,Net profit (loss) from discontinued operations after tax,ProfitLossFromDiscontinuedOperationsAfterTaxNetProfitLossFromDiscontinuedOperationsAfterTax
ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,0,-7,INR,Share of profit (loss) of associates and joint ventures accounted for using equity method,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
ProfitLossForPeriod,112170000000,-7,INR,Total profit (loss) for period,ProfitLossForPeriodTotalProfitLossForPeriod
OtherComprehensiveIncomeNetOfTaxes,11150000000,-7,INR,Other comprehensive income net of taxes,OtherComprehensiveIncomeNetOfTaxes
ComprehensiveIncomeForThePeriod,123320000000,-7,INR,Total comprehensive income for the period,ComprehensiveIncomeForThePeriodTotalComprehensiveIncomeForThePeriod
PaidUpValueOfEquityShareCapital,135320000000,-7,INR,Paid-up equity share capital,PaidUpValueOfEquityShareCapitalPaidUpEquityShareCapital
FaceValueOfEquityShareCapital,10,0,INRPerShare,Face value of equity share capital,FaceValueOfEquityShareCapital
BasicEarningsLossPerShareFromContinuingOperations,8.29,0,INRPerShare,Basic earnings (loss) per share from continuing operations,BasicEarningsLossPerShareFromContinuingOperations
DilutedEarningsLossPerShareFromContinuingOperations,8.29,0,INRPerShare,Diluted earnings (loss) per share from continuing operations,DilutedEarningsLossPerShareFromContinuingOperations
BasicEarningsLossPerShareFromDiscontinuedOperations,0,0,INRPerShare,Basic earnings (loss) per share from discontinued operations,BasicEarningsLossPerShareFromDiscontinuedOperations
DilutedEarningsLossPerShareFromDiscontinuedOperations,0,0,INRPerShare,Diluted earnings (loss) per share from discontinued operations,DilutedEarningsLossPerShareFromDiscontinuedOperations
BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations,8.29,0,INRPerShare,Total basic earnings (loss) per share from continuing and discontinued operations,BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperationsTotalBasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations
DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations,8.29,0,INRPerShare,Total diluted earnings (loss) per share from continuing and discontinued operations,DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperationsTotalDilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations
DebtEquityRatio,0.0037,0,pure,Debt equity ratio,DebtEquityRatio
DebtServiceCoverageRatio,0.0349,0,pure,Debt service coverage ratio,DebtServiceCoverageRatio
InterestServiceCoverageRatio,0.0789,0,pure,Interest service coverage ratio,InterestServiceCoverageRatio
DisclosureOfNotesOnFinancialResultsExplanatoryTextBlock,Notes to Financial Results: &lt;BR&gt;  &lt;BR&gt;  1.The following ratios which form part of the Standalone Financial Results for the quarter and year ended 31st March'| 2025'| are reproduced below'| as there are no rows designated for the same in the XBRL format: &lt;BR&gt;    &lt;BR&gt;                  Ratio                                                               Quarter ended                           Year ended  &lt;BR&gt;   &lt;BR&gt;                                                                                       31st March'| 2025                     31st March'| 2025 &lt;BR&gt;    &lt;BR&gt;  A)	Current ratio                                                             1.05                                   1.05 &lt;BR&gt;   &lt;BR&gt;  B)	Long Term Debt to Working Capital                            7.53                                   7.53 &lt;BR&gt;   &lt;BR&gt;  C)	Bad Debts to Account Receivable Ratio                      0.00                                   0.00           &lt;BR&gt;   &lt;BR&gt;  D)	Current Liability Ratio                                                 0.54                                   0.54 &lt;BR&gt;   &lt;BR&gt;  E)	Total Debt to Total Assets                                          0.19                                   0.19 &lt;BR&gt;   &lt;BR&gt;  F)	Debtors Turnover Ratio $                                          39.64                                 36.74 &lt;BR&gt;   &lt;BR&gt;  G)	Inventory Turnover Ratio $                                         6.56                                   6.85           &lt;BR&gt;   &lt;BR&gt;  H)	Operating Margin (%)                                                 7.5                                     7.2 &lt;BR&gt;   &lt;BR&gt;  I)	Net Profit Margin (%)                                                  7.9                                      6.3 &lt;BR&gt;    &lt;BR&gt;                  $ Ratios for the quarter have been annualised. &lt;BR&gt;    &lt;BR&gt;  2. Net Worth as at 31st March'| 2025 is Rs. 496'|889 Crore. &lt;BR&gt;    &lt;BR&gt;  3. Outstanding Capital Redemption Reserve/Debenture Redemption Reserve as at 31st March'| 2025 is Rs.1'|683 Crore. &lt;BR&gt;    &lt;BR&gt;  4. . Formulae for computation of ratios are as follows : &lt;BR&gt;    &lt;BR&gt;     i. Debt Service Coverage Ratio      =        Earnings before Interest and Tax &lt;BR&gt;   &lt;BR&gt;                                                                  ------------------------------------------------------------------------ &lt;BR&gt;   &lt;BR&gt;                                                                   Interest Expense + Principal Repayments made during                             &lt;BR&gt;   &lt;BR&gt;                                                                   the period for long term loans   &lt;BR&gt;    &lt;BR&gt;     ii. Interest Service Coverage Ratio =        Earnings before Interest and Tax &lt;BR&gt;   &lt;BR&gt;                                                                  ----------------------------------------------------------------------- &lt;BR&gt;   &lt;BR&gt;                                                                              Interest Expense &lt;BR&gt;    &lt;BR&gt;     iii. Debt/ Equity Ratio     =                      Total Debt &lt;BR&gt;   &lt;BR&gt;                                                                  ------------------ &lt;BR&gt;   &lt;BR&gt;                                                                   Total Equity &lt;BR&gt;    &lt;BR&gt;    &lt;BR&gt;     iv. Current ratio      =                              Current Assets &lt;BR&gt;   &lt;BR&gt;                                                                  --------------------- &lt;BR&gt;   &lt;BR&gt;                                                                   Current Liabilities &lt;BR&gt;    &lt;BR&gt;     v. Long term debt to working capital =     Non-Current Borrowings (Including Current Maturities of &lt;BR&gt;   &lt;BR&gt;                                                                   Non-Current Borrowings) &lt;BR&gt;   &lt;BR&gt;                                                                  ----------------------------------------------------------------------- &lt;BR&gt;   &lt;BR&gt;                                                                   Current Assets Less Current Liabilities (Excluding Current &lt;BR&gt;   &lt;BR&gt;                                                                   Maturities of Non-Current Borrowings) &lt;BR&gt;    &lt;BR&gt;     vi. Bad debts to Account receivable  =     Bad Debts &lt;BR&gt;   &lt;BR&gt;          ratio                                                  ------------------ &lt;BR&gt;   &lt;BR&gt;                                                                   Average Trade Receivables &lt;BR&gt;    &lt;BR&gt;    &lt;BR&gt;     vii. Current liability ratio      =                  Total Current Liabilities &lt;BR&gt;   &lt;BR&gt;                                                                  ------------------------------------------------------------------------ &lt;BR&gt;   &lt;BR&gt;                                                                      Total Liabilities   &lt;BR&gt;    &lt;BR&gt;     viii. Total debts to total assets =             Total Debt &lt;BR&gt;   &lt;BR&gt;                                                                  ----------------- &lt;BR&gt;   &lt;BR&gt;                                                                    Total Assets &lt;BR&gt;    &lt;BR&gt;     ix. Debtors turnover =                             Value of Sales & Services &lt;BR&gt;   &lt;BR&gt;                                                                  ---------------------------------- &lt;BR&gt;   &lt;BR&gt;                                                                   Average Trade Receivables &lt;BR&gt;    &lt;BR&gt;     x. Inventory turnover =                            Cost of Goods Sold (Cost of Material Consumed+ Purchases + &lt;BR&gt;   &lt;BR&gt;                                                                    Changes in Inventory + Manufacturing Expenses) &lt;BR&gt;   &lt;BR&gt;                                                                  -------------------------------------------------------------------- &lt;BR&gt;   &lt;BR&gt;                                                                   Average Inventories of Finished Goods'| Stock-in-Process and  &lt;BR&gt;   &lt;BR&gt;                                                                   Stock-in-Trade &lt;BR&gt;    &lt;BR&gt;    &lt;BR&gt;     xi. Operating margin (%) =                     Earnings before Interest and Tax &lt;BR&gt;   &lt;BR&gt;                                                                     less Other Income &lt;BR&gt;   &lt;BR&gt;                                                                  ---------------------------------- &lt;BR&gt;   &lt;BR&gt;                                                                     Value of Sales & Services &lt;BR&gt;    &lt;BR&gt;    &lt;BR&gt;     xii. Net profit margin (%) =                     Profit After Tax &lt;BR&gt;   &lt;BR&gt;                                                                  ------------------------------------------------------- &lt;BR&gt;   &lt;BR&gt;                                                                   Value of Sales & Services &lt;BR&gt;    &lt;BR&gt;    &lt;BR&gt;  5. During the year'| a) 142'|565 partly paid-up equity shares were cancelled post forfeiture; and b) 676'|61'|86'|449 equity shares were allotted to the eligible holders of equity shares on the record date (i.e.'| October 28'| 2024) as bonus equity shares by capitalizing securities premium. In accordance with the ‘Ind AS 33 – Earnings per Share’'| the figures of Earnings Per Share for the quarter/year ended March 31'| 2024 have been restated to give effect to the allotment of the bonus shares. &lt;BR&gt;    &lt;BR&gt;  Notes to Cash Flow: &lt;BR&gt;    &lt;BR&gt;  1. Changes in Trade and Other Receivables have been shown under Adjustments for decrease / (increase) in trade receivables'| current. &lt;BR&gt;    &lt;BR&gt;  2. Changes in Trade and Other Payables have been shown under Adjustments for increase / (decrease) in trade payables'| current. &lt;BR&gt;    &lt;BR&gt;  3. Proceeds from issue of Equity Share Capital -  Rs. 2'|200'|000 &lt;BR&gt;   ,0,,Disclosure of notes on financial results explanatory ,DisclosureOfNotesOnFinancialResultsExplanatoryTextBlockDisclosureOfNotesOnFinancialResultsExplanatory
OtherExpenses,31850000000,-7,INR,Excise Duty,OtherExpensesExciseDuty
OtherExpenses,160100000000,-7,INR,Other Expenses,OtherExpenses
SegmentRevenue,1302100000000,-7,INR,Oil to Chemicals (O2C),SegmentRevenueOilToChemicalsO2c
SegmentRevenue,63930000000,-7,INR,Oil and Gas,SegmentRevenueOilAndGas
SegmentRevenue,150000000,-7,INR,Retail,SegmentRevenueRetail
SegmentRevenue,2770000000,-7,INR,Digital Services,SegmentRevenueDigitalServices
SegmentRevenue,58670000000,-7,INR,Others,SegmentRevenueOthers
SegmentRevenue,1427620000000,-7,INR,Segment revenue,SegmentRevenue
InterSegmentRevenue,820000000,-7,INR,Inter segment revenue,InterSegmentRevenue
SegmentRevenueFromOperations,1426800000000,-7,INR,Revenue from operations,SegmentRevenueFromOperationsRevenueFromOperations
SegmentProfitLossBeforeTaxAndFinanceCosts,80020000000,-7,INR,Oil to Chemicals (O2C),SegmentProfitLossBeforeTaxAndFinanceCostsOilToChemicalsO2c
SegmentProfitLossBeforeTaxAndFinanceCosts,37880000000,-7,INR,Oil and Gas,SegmentProfitLossBeforeTaxAndFinanceCostsOilAndGas
SegmentProfitLossBeforeTaxAndFinanceCosts,50000000,-7,INR,Retail,SegmentProfitLossBeforeTaxAndFinanceCostsRetail
