Label,Value,Decimals,UnitId,Description,ContextName,From,To
ScripCode,523127,0,,Scrip code,MainD,2024-5-15 00:00:00,2024-8-14 00:00:00
Symbol,EIHAHOTELS,0,,Symbol,MainD,2024-5-15 00:00:00,2024-8-14 00:00:00
MSEISymbol,NOTLISTED,0,,MSEI Symbol,MainD,2024-5-15 00:00:00,2024-8-14 00:00:00
ISIN,INE276C01014,0,,ISIN,MainD,2024-5-15 00:00:00,2024-8-14 00:00:00
NameOfTheCompany,EIH ASSOCIATED HOTELS LIMITED,0,,Name of the company,MainD,2024-5-15 00:00:00,2024-8-14 00:00:00
WhetherCompanyIsSME,false,0,,Whether company is SME,MainI,2024-8-14 00:00:00,2024-8-14 00:00:00
ClassOfSecurity,Equity Shares,0,,Class of security,MainD,2024-5-15 00:00:00,2024-8-14 00:00:00
TypeOfReport,Capital Restructuring,0,,Type of report,MainD,2024-5-15 00:00:00,2024-8-14 00:00:00
DateOfReport,2024-08-14,0,,Date of report,MainI,2024-8-14 00:00:00,2024-8-14 00:00:00
DateOfAllotment,2024-08-14,0,,Date of allotment,MainI,2024-8-14 00:00:00,2024-8-14 00:00:00
ShareholdingPatternFiledUnder,Regulation 31 (1) (c),0,,Shareholding pattern filed under,MainD,2024-5-15 00:00:00,2024-8-14 00:00:00
WhetherTheListedEntityIsPublicSectorUndertaking,false,0,,Whether the listed entity is Public Sector Undertaking (PSU),MainI,2024-8-14 00:00:00,2024-8-14 00:00:00
WhetherTheListedEntityHasIssuedAnyPartlyPaidUpShares,false,0,,Whether the listed entity has issued any partly paid up shares,MainI,2024-8-14 00:00:00,2024-8-14 00:00:00
WhetherTheListedEntityHasIssuedAnyPartlyPaidUpSharesForPromoterAndPromoterGroup,false,0,,Whether the listed entity has issued any partly paid up shares for promoter and promoter group,MainI,2024-8-14 00:00:00,2024-8-14 00:00:00
WhetherTheListedEntityHasIssuedAnyPartlyPaidUpSharesForPublicShareHolder,false,0,,Whether the listed entity has issued any partly paid up shares for public share holder,MainI,2024-8-14 00:00:00,2024-8-14 00:00:00
WhetherTheListedEntityHasIssuedAnyPartlyPaidUpSharesForNonPromoterNonPublic,false,0,,Whether the listed entity has issued any partly paid up shares for non promoter non-public,MainI,2024-8-14 00:00:00,2024-8-14 00:00:00
WhetherTheListedEntityHasIssuedAnyConvertibleSecurities,false,0,,Whether the listed entity has issued any convertible securities,MainI,2024-8-14 00:00:00,2024-8-14 00:00:00
WhetherTheListedEntityHasIssuedAnyConvertibleSecuritiesForPromoterAndPromoterGroup,false,0,,Whether the listed entity has issued any convertible securities for promoter and promoter group,MainI,2024-8-14 00:00:00,2024-8-14 00:00:00
