Label,Value,Decimals,UnitId,Description,ContextName,From,To
ScripCode,539026,0,,Scrip code,MainD,01/07/2024 00:00,30/09/2024 00:00
Symbol,SSPNFIN,0,,Symbol,MainD,01/07/2024 00:00,30/09/2024 00:00
MSEISymbol,NA,0,,MSEI Symbol,MainD,01/07/2024 00:00,30/09/2024 00:00
ISIN,INE820R01017,0,,ISIN,MainD,01/07/2024 00:00,30/09/2024 00:00
NameOfTheCompany,SSPN FINANCE LIMITED,0,,Name of the company,MainD,01/07/2024 00:00,30/09/2024 00:00
WhetherCompanyIsSME,TRUE,0,,Whether company is SME,MainI,30/09/2024 00:00,30/09/2024 00:00
ClassOfSecurity,Equity Shares,0,,Class of security,MainD,01/07/2024 00:00,30/09/2024 00:00
TypeOfReport,Quarterly,0,,Type of report,MainD,01/07/2024 00:00,30/09/2024 00:00
DateOfReport,30/09/2024,0,,Date of report,MainI,30/09/2024 00:00,30/09/2024 00:00
ShareholdingPatternFiledUnder,Regulation 31 (1) (b),0,,Shareholding pattern filed under,MainD,01/07/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityIsPublicSectorUndertaking,FALSE,0,,Whether the listed entity is Public Sector Undertaking (PSU),MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyPartlyPaidUpShares,FALSE,0,,Whether the listed entity has issued any partly paid up shares,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyPartlyPaidUpSharesForPromoterAndPromoterGroup,FALSE,0,,Whether the listed entity has issued any partly paid up shares for promoter and promoter group,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyPartlyPaidUpSharesForPublicShareHolder,FALSE,0,,Whether the listed entity has issued any partly paid up shares for public share holder,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyPartlyPaidUpSharesForNonPromoterNonPublic,FALSE,0,,Whether the listed entity has issued any partly paid up shares for non promoter non-public,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyConvertibleSecurities,FALSE,0,,Whether the listed entity has issued any convertible securities,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyConvertibleSecuritiesForPromoterAndPromoterGroup,FALSE,0,,Whether the listed entity has issued any convertible securities for promoter and promoter group,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyConvertibleSecuritiesForPublicShareHolder,FALSE,0,,Whether the listed entity has issued any convertible securities for public share holder,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyConvertibleSecuritiesForNonPromoterNonPublic,FALSE,0,,Whether the listed entity has issued any convertible securities for non promoter non public,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyWarrants,FALSE,0,,Whether the listed entity has issued any warrants,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyWarrantsForPromoterAndPromoterGroup,FALSE,0,,Whether the listed entity has issued any warrants for promoter and promoter group,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyWarrantsForPublicShareHolder,FALSE,0,,Whether the listed entity has issued any warrants for public shareholder,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasIssuedAnyWarrantsForNonPromoterNonPublic,FALSE,0,,Whether the listed entity has issued any warrants for non promoter non public,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasAnySharesAgainstWhichDepositoryReceiptsAreIssued,FALSE,0,,Whether the listed entity has any shares against which depository receipts are issued,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasAnySharesAgainstWhichDepositoryReceiptsAreIssuedForPromoterAndPromoterGroup,FALSE,0,,Whether the listed entity has any shares against which depository receipts are issued for promoter and promoter group,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasAnySharesAgainstWhichDepositoryReceiptsAreIssuedForPublicShareHolder,FALSE,0,,Whether the listed entity has any shares against which depository receipts are issued for public shareholder,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasAnySharesAgainstWhichDepositoryReceiptsAreIssuedForNonPromoterNonPublic,FALSE,0,,Whether the listed entity has any shares against which depository receipts are issued for non promoter non public,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasAnySharesInLockedIn,FALSE,0,,Whether the listed entity has any shares in locked-in,MainI,30/09/2024 00:00,30/09/2024 00:00
WhetherTheListedEntityHasAnySharesInLockedInForPromoterAndPromoterGroup,FALSE,0,,Whether the listed entity has any shares in locked in for promoter and promoter group,MainI,30/09/2024 00:00,30/09/2024 00:00
